"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.32    ,  0.14  
MgO     ,  7.09    ,  0.17  
Al2O3   ,  8.77    ,  0.19  
SiO2    , 47.26    ,  0.54  
P2O5    ,  0.89    ,  0.05  
SO3     ,  6.54    ,  0.08  
Cl      ,  1.16    ,  0.02  
K2O     ,  0.78    ,  0.02  
CaO     ,  4.76    ,  0.06  
TiO2    ,  1.15    ,  0.05  
Cr2O3   ,  0.38    ,  0.01  
MnO     ,  0.20    ,  0.01  
FeO     , 18.27    ,  0.20  
Ni      ,  0.0892  ,  0.0045
Zn      ,  0.1452  ,  0.0045
Br      ,  0.0209  ,  0.0010
