"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.55    ,  0.14  
MgO     ,  7.68    ,  0.17  
Al2O3   ,  8.78    ,  0.19  
SiO2    , 44.08    ,  0.54  
P2O5    ,  1.04    ,  0.07  
SO3     ,  9.72    ,  0.15  
Cl      ,  1.09    ,  0.03  
K2O     ,  0.66    ,  0.02  
CaO     ,  6.95    ,  0.07  
TiO2    ,  1.12    ,  0.05  
Cr2O3   ,  0.31    ,  0.03  
MnO     ,  0.22    ,  0.01  
FeO     , 15.52    ,  0.20  
Ni      ,  0.0729  ,  0.0040
Zn      ,  0.1210  ,  0.0040
Br      ,  0.0084  ,  0.0010
