"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.51    ,  0.20  
MgO     ,  5.71    ,  0.25  
Al2O3   ,  9.29    ,  0.29  
SiO2    , 50.55    ,  0.75  
P2O5    ,  0.81    ,  0.07  
SO3     ,  4.50    ,  0.17  
Cl      ,  1.09    ,  0.06  
K2O     ,  1.06    ,  0.05  
CaO     ,  3.67    ,  0.08  
TiO2    ,  1.19    ,  0.07  
Cr2O3   ,  0.38    ,  0.05  
MnO     ,  0.14    ,  0.03  
FeO     , 18.83    ,  0.20  
Ni      ,  0.0898  ,  0.0065
Zn      ,  0.0694  ,  0.0040
Br      ,  0.0092  ,  0.0015
