"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.09    ,  0.07  
MgO     ,  4.89    ,  0.17  
Al2O3   ,  7.91    ,  0.19  
SiO2    , 43.61    ,  0.54  
P2O5    ,  0.96    ,  0.07  
SO3     , 11.09    ,  0.12  
Cl      ,  0.99    ,  0.02  
K2O     ,  0.69    ,  0.02  
CaO     ,  6.47    ,  0.07  
TiO2    ,  1.05    ,  0.03  
Cr2O3   ,  0.27    ,  0.01  
MnO     ,  0.23    ,  0.01  
FeO     , 19.43    ,  0.26  
Ni      ,  0.1175  ,  0.0060
Zn      ,  0.1213  ,  0.0040
Br      ,  0.0267  ,  0.0010
