"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.04    ,  0.20  
MgO     ,  6.18    ,  0.17  
Al2O3   ,  6.68    ,  0.19  
SiO2    , 36.94    ,  0.43  
P2O5    ,  1.07    ,  0.09  
SO3     , 17.86    ,  0.35  
Cl      ,  0.93    ,  0.06  
K2O     ,  0.66    ,  0.04  
CaO     ,  8.65    ,  0.13  
TiO2    ,  0.86    ,  0.05  
Cr2O3   ,  0.27    ,  0.05  
MnO     ,  0.15    ,  0.03  
FeO     , 17.41    ,  0.20  
Ni      ,  0.0786  ,  0.0065
Zn      ,  0.1075  ,  0.0050
Br      ,  0.0329  ,  0.0020
