"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.58    ,  0.14  
MgO     ,  5.22    ,  0.17  
Al2O3   , 10.17    ,  0.29  
SiO2    , 53.10    ,  0.54  
P2O5    ,  0.75    ,  0.05  
SO3     ,  3.27    ,  0.08  
Cl      ,  0.87    ,  0.02  
K2O     ,  1.34    ,  0.05  
CaO     ,  2.74    ,  0.04  
TiO2    ,  1.17    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.34    ,  0.01  
FeO     , 17.79    ,  0.20  
Ni      ,  0.0771  ,  0.0040
Zn      ,  0.1338  ,  0.0045
Br      ,  0.0321  ,  0.0010
