"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.26    ,  0.14  
MgO     ,  6.62    ,  0.17  
Al2O3   ,  8.41    ,  0.19  
SiO2    , 46.53    ,  0.54  
P2O5    ,  0.81    ,  0.05  
SO3     ,  6.26    ,  0.08  
Cl      ,  1.34    ,  0.02  
K2O     ,  0.94    ,  0.04  
CaO     ,  4.57    ,  0.06  
TiO2    ,  1.18    ,  0.05  
Cr2O3   ,  0.35    ,  0.01  
MnO     ,  0.22    ,  0.01  
FeO     , 19.97    ,  0.26  
Ni      ,  0.0837  ,  0.0045
Zn      ,  0.2690  ,  0.0085
Br      ,  0.1056  ,  0.0035
