"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.12    ,  0.07  
MgO     ,  3.26    ,  0.08  
Al2O3   ,  5.01    ,  0.19  
SiO2    , 72.56    ,  0.75  
P2O5    ,  1.41    ,  0.09  
SO3     ,  6.62    ,  0.08  
Cl      ,  0.58    ,  0.01  
K2O     ,  1.30    ,  0.05  
CaO     ,  2.71    ,  0.03  
TiO2    ,  1.48    ,  0.05  
Cr2O3   ,  0.03    ,  0.01  
MnO     ,  0.02    ,  0.01  
FeO     ,  2.68    ,  0.07  
Ni      ,  0.0120  ,  0.0010
Zn      ,  0.0027  ,  0.0005
Br      ,  0.0106  ,  0.0005
