"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.58    ,  0.14  
MgO     ,  4.20    ,  0.17  
Al2O3   ,  9.45    ,  0.29  
SiO2    , 50.59    ,  0.54  
P2O5    ,  0.73    ,  0.05  
SO3     ,  5.61    ,  0.10  
Cl      ,  0.93    ,  0.03  
K2O     ,  0.85    ,  0.04  
CaO     ,  4.83    ,  0.06  
TiO2    ,  0.94    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.14    ,  0.01  
FeO     , 18.60    ,  0.20  
Ni      ,  0.1020  ,  0.0055
Zn      ,  0.0700  ,  0.0025
Br      ,  0.0067  ,  0.0010
