"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.30    ,  0.20  
MgO     ,  6.67    ,  0.25  
Al2O3   ,  8.95    ,  0.29  
SiO2    , 49.07    ,  0.75  
P2O5    ,  0.78    ,  0.07  
SO3     ,  4.71    ,  0.15  
Cl      ,  1.66    ,  0.06  
K2O     ,  0.84    ,  0.04  
CaO     ,  3.17    ,  0.07  
TiO2    ,  1.14    ,  0.09  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.25    ,  0.03  
FeO     , 19.56    ,  0.26  
Ni      ,  0.0777  ,  0.0055
Zn      ,  0.3799  ,  0.0115
Br      ,  0.0728  ,  0.0030
