"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.04    ,  0.07  
MgO     ,  5.44    ,  0.17  
Al2O3   ,  7.68    ,  0.19  
SiO2    , 41.68    ,  0.43  
P2O5    ,  0.84    ,  0.05  
SO3     ,  9.32    ,  0.10  
Cl      ,  0.55    ,  0.02  
K2O     ,  1.11    ,  0.04  
CaO     ,  6.71    ,  0.07  
TiO2    ,  1.22    ,  0.05  
Cr2O3   ,  0.39    ,  0.01  
MnO     ,  0.29    ,  0.01  
FeO     , 22.23    ,  0.26  
Ni      ,  0.1056  ,  0.0055
Zn      ,  0.2651  ,  0.0080
Br      ,  0.0240  ,  0.0010
