"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  6.31    ,  0.20  
MgO     ,  2.97    ,  0.08  
Al2O3   , 15.90    ,  0.38  
SiO2    , 51.79    ,  0.54  
P2O5    ,  0.60    ,  0.05  
SO3     ,  2.23    ,  0.05  
Cl      ,  0.55    ,  0.02  
K2O     ,  1.89    ,  0.06  
CaO     ,  5.86    ,  0.07  
TiO2    ,  0.60    ,  0.03  
Cr2O3   ,  0.03    ,  0.01  
MnO     ,  0.19    ,  0.01  
FeO     , 10.98    ,  0.13  
Ni      ,  0.0051  ,  0.0010
Zn      ,  0.0319  ,  0.0010
Br      ,  0.0033  ,  0.0005
