"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.64    ,  0.20  
MgO     ,  6.45    ,  0.25  
Al2O3   ,  8.99    ,  0.29  
SiO2    , 48.25    ,  0.75  
P2O5    ,  0.81    ,  0.07  
SO3     ,  6.37    ,  0.20  
Cl      ,  1.46    ,  0.06  
K2O     ,  0.87    ,  0.04  
CaO     ,  4.19    ,  0.08  
TiO2    ,  1.19    ,  0.09  
Cr2O3   ,  0.38    ,  0.03  
MnO     ,  0.15    ,  0.03  
FeO     , 17.87    ,  0.20  
Ni      ,  0.0895  ,  0.0060
Zn      ,  0.1274  ,  0.0050
Br      ,  0.0435  ,  0.0020
