"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.26    ,  0.14  
MgO     ,  6.75    ,  0.17  
Al2O3   ,  9.34    ,  0.19  
SiO2    , 50.21    ,  0.54  
P2O5    ,  1.07    ,  0.07  
SO3     ,  3.02    ,  0.10  
Cl      ,  0.98    ,  0.03  
K2O     ,  0.89    ,  0.04  
CaO     ,  5.29    ,  0.07  
TiO2    ,  1.00    ,  0.03  
Cr2O3   ,  0.29    ,  0.03  
MnO     ,  0.25    ,  0.03  
FeO     , 17.41    ,  0.20  
Ni      ,  0.0661  ,  0.0035
Zn      ,  0.0947  ,  0.0030
Br      ,  0.0248  ,  0.0010
