"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.70    ,  0.34  
MgO     ,  7.36    ,  0.33  
Al2O3   ,  8.74    ,  0.29  
SiO2    , 46.66    ,  0.64  
P2O5    ,  0.93    ,  0.09  
SO3     ,  5.30    ,  0.20  
Cl      ,  1.01    ,  0.06  
K2O     ,  0.80    ,  0.04  
CaO     ,  5.40    ,  0.10  
TiO2    ,  0.94    ,  0.10  
Cr2O3   ,  0.36    ,  0.05  
MnO     ,  0.25    ,  0.04  
FeO     , 19.02    ,  0.20  
Ni      ,  0.0727  ,  0.0065
Zn      ,  0.0935  ,  0.0045
Br      ,  0.0236  ,  0.0020
