"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.11    ,  0.13  
MgO     ,  6.70    ,  0.17  
Al2O3   ,  8.36    ,  0.19  
SiO2    , 44.65    ,  0.53  
P2O5    ,  0.81    ,  0.05  
SO3     ,  4.61    ,  0.10  
Cl      ,  1.32    ,  0.03  
K2O     ,  0.55    ,  0.02  
CaO     ,  6.06    ,  0.07  
TiO2    ,  1.29    ,  0.05  
Cr2O3   ,  0.35    ,  0.03  
MnO     ,  0.29    ,  0.03  
FeO     , 22.62    ,  0.26  
Ni      ,  0.0529  ,  0.0030
Zn      ,  0.0634  ,  0.0020
Br      ,  0.0091  ,  0.0010
