"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.71    ,  0.14  
MgO     ,  8.81    ,  0.25  
Al2O3   ,  9.04    ,  0.19  
SiO2    , 43.43    ,  0.54  
P2O5    ,  0.92    ,  0.05  
SO3     ,  5.21    ,  0.08  
Cl      ,  0.70    ,  0.02  
K2O     ,  0.47    ,  0.02  
CaO     ,  6.97    ,  0.07  
TiO2    ,  0.99    ,  0.03  
Cr2O3   ,  0.39    ,  0.01  
MnO     ,  0.40    ,  0.01  
FeO     , 19.78    ,  0.26  
Ni      ,  0.0542  ,  0.0030
Zn      ,  0.0277  ,  0.0010
Br      ,  0.0044  ,  0.0005
