"Target: Waternish_raster3, Contains DAT files: APB_577019972ESC20220691768_______M1.DAT"
  484.6  ,     968
  509.0  ,       0
  533.4  ,       0
  557.8  ,       0
  582.2  ,       0
  606.6  ,     111
  631.0  ,       0
  655.4  ,     124
  679.8  ,     278
  704.2  ,     270
  728.6  ,     251
  752.9  ,     257
  777.3  ,     248
  801.7  ,     234
  826.1  ,     265
  850.5  ,     265
  874.9  ,     284
  899.3  ,     276
  923.7  ,     383
  948.1  ,     468
  972.5  ,     751
  996.9  ,    1154
 1021.3  ,    1449
 1045.7  ,    1377
 1070.1  ,    1001
 1094.5  ,     665
 1118.9  ,     536
 1143.3  ,     489
 1167.7  ,     747
 1192.1  ,    1317
 1216.5  ,    1807
 1240.9  ,    2140
 1265.2  ,    1954
 1289.6  ,    1388
 1314.0  ,     982
 1338.4  ,     776
 1362.8  ,     868
 1387.2  ,    1624
 1411.6  ,    3165
 1436.0  ,    5401
 1460.4  ,    7382
 1484.8  ,    7538
 1509.2  ,    6034
 1533.6  ,    3842
 1558.0  ,    2089
 1582.4  ,    1416
 1606.8  ,    1577
 1631.2  ,    2967
 1655.6  ,    6292
 1680.0  ,   11737
 1704.4  ,   17397
 1728.8  ,   19769
 1753.2  ,   17291
 1777.5  ,   11294
 1801.9  ,    6153
 1826.3  ,    2977
 1850.7  ,    1337
 1875.1  ,     814
 1899.5  ,     531
 1923.9  ,     381
 1948.3  ,     271
 1972.7  ,     277
 1997.1  ,     286
 2021.5  ,     262
 2045.9  ,     221
 2070.3  ,     190
 2094.7  ,     137
 2119.1  ,     122
 2143.5  ,     128
 2167.9  ,     138
 2192.3  ,     192
 2216.7  ,     304
 2241.1  ,     540
 2265.5  ,     774
 2289.8  ,     915
 2314.2  ,     861
 2338.6  ,     668
 2363.0  ,     427
 2387.4  ,     236
 2411.8  ,     143
 2436.2  ,     136
 2460.6  ,     138
 2485.0  ,     122
 2509.4  ,     155
 2533.8  ,     244
 2558.2  ,     374
 2582.6  ,     489
 2607.0  ,     555
 2631.4  ,     511
 2655.8  ,     392
 2680.2  ,     231
 2704.6  ,     130
 2729.0  ,      74
 2753.4  ,      80
 2777.7  ,      62
 2802.1  ,      85
 2826.5  ,      75
 2850.9  ,      64
 2875.3  ,      78
 2899.7  ,      61
 2924.1  ,      61
 2948.5  ,      56
 2972.9  ,      55
 2997.3  ,      42
 3021.7  ,      41
 3046.1  ,      41
 3070.5  ,      34
 3094.9  ,      34
 3119.3  ,      44
 3143.7  ,      30
 3168.1  ,      48
 3192.5  ,      73
 3216.9  ,      95
 3241.3  ,     141
 3265.7  ,     194
 3290.0  ,     229
 3314.4  ,     235
 3338.8  ,     203
 3363.2  ,     175
 3387.6  ,     111
 3412.0  ,      80
 3436.4  ,      62
 3460.8  ,      61
 3485.2  ,      71
 3509.6  ,      91
 3534.0  ,     130
 3558.4  ,     204
 3582.8  ,     332
 3607.2  ,     583
 3631.6  ,     849
 3656.0  ,    1126
 3680.4  ,    1193
 3704.8  ,    1077
 3729.2  ,     820
 3753.6  ,     479
 3778.0  ,     256
 3802.3  ,     125
 3826.7  ,      76
 3851.1  ,      38
 3875.5  ,      47
 3899.9  ,      54
 3924.3  ,     101
 3948.7  ,      99
 3973.1  ,     156
 3997.5  ,     167
 4021.9  ,     170
 4046.3  ,     139
 4070.7  ,     110
 4095.1  ,      68
 4119.5  ,      70
 4143.9  ,      40
 4168.3  ,      30
 4192.7  ,      35
 4217.1  ,      30
 4241.5  ,      32
 4265.9  ,      25
 4290.3  ,      31
 4314.6  ,      28
 4339.0  ,      31
 4363.4  ,      30
 4387.8  ,      51
 4412.2  ,      63
 4436.6  ,      93
 4461.0  ,     120
 4485.4  ,     133
 4509.8  ,     129
 4534.2  ,      86
 4558.6  ,      80
 4583.0  ,      71
 4607.4  ,      65
 4631.8  ,      48
 4656.2  ,      48
 4680.6  ,      39
 4705.0  ,      40
 4729.4  ,      30
 4753.8  ,      25
 4778.2  ,      26
 4802.6  ,      15
 4826.9  ,      36
 4851.3  ,      36
 4875.7  ,      34
 4900.1  ,      37
 4924.5  ,      38
 4948.9  ,      36
 4973.3  ,      30
 4997.7  ,      27
 5022.1  ,      32
 5046.5  ,      38
 5070.9  ,      22
 5095.3  ,      32
 5119.7  ,      31
 5144.1  ,      30
 5168.5  ,      22
 5192.9  ,      38
 5217.3  ,      35
 5241.7  ,      35
 5266.1  ,      31
 5290.5  ,      39
 5314.9  ,      40
 5339.2  ,      43
 5363.6  ,      53
 5388.0  ,      51
 5412.4  ,      40
 5436.8  ,      36
 5461.2  ,      36
 5485.6  ,      39
 5510.0  ,      34
 5534.4  ,      27
 5558.8  ,      23
 5583.2  ,      24
 5607.6  ,      27
 5632.0  ,      30
 5656.4  ,      26
 5680.8  ,      38
 5705.2  ,      26
 5729.6  ,      41
 5754.0  ,      45
 5778.4  ,      55
 5802.8  ,      69
 5827.2  ,      80
 5851.5  ,      84
 5875.9  ,      95
 5900.3  ,      89
 5924.7  ,      76
 5949.1  ,      76
 5973.5  ,      67
 5997.9  ,      63
 6022.3  ,      61
 6046.7  ,      59
 6071.1  ,      79
 6095.5  ,      60
