"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.67    ,  0.20  
MgO     ,  6.16    ,  0.25  
Al2O3   , 11.70    ,  0.29  
SiO2    , 46.97    ,  0.64  
P2O5    ,  0.95    ,  0.07  
SO3     ,  5.65    ,  0.17  
Cl      ,  1.62    ,  0.06  
K2O     ,  0.53    ,  0.02  
CaO     ,  5.92    ,  0.10  
TiO2    ,  0.72    ,  0.05  
Cr2O3   ,  0.11    ,  0.03  
MnO     ,  0.20    ,  0.03  
FeO     , 15.70    ,  0.20  
Ni      ,  0.0157  ,  0.0030
Zn      ,  0.0302  ,  0.0025
Br      ,  0.0084  ,  0.0010
