"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  4.54    ,  0.20  
MgO     ,  4.38    ,  0.17  
Al2O3   , 15.16    ,  0.38  
SiO2    , 48.39    ,  0.64  
P2O5    ,  1.55    ,  0.09  
SO3     ,  4.26    ,  0.15  
Cl      ,  0.95    ,  0.05  
K2O     ,  0.63    ,  0.04  
CaO     ,  7.27    ,  0.11  
TiO2    ,  1.33    ,  0.07  
Cr2O3   ,  0.12    ,  0.03  
MnO     ,  0.17    ,  0.03  
FeO     , 10.92    ,  0.13  
Ni      ,  0.0099  ,  0.0030
Zn      ,  0.0199  ,  0.0020
Br      ,  0.0036  ,  0.0010
