"Target: Waternish_raster1, Contains DAT files: APB_577017400ESC20220691768_______M1.DAT"
  484.8  ,     900
  509.2  ,       0
  533.6  ,       0
  558.0  ,       0
  582.4  ,       0
  606.8  ,     111
  631.2  ,       0
  655.6  ,     150
  680.0  ,     284
  704.5  ,     267
  728.9  ,     244
  753.3  ,     226
  777.7  ,     219
  802.1  ,     216
  826.5  ,     238
  850.9  ,     219
  875.3  ,     264
  899.7  ,     283
  924.1  ,     308
  948.5  ,     510
  972.9  ,     760
  997.3  ,    1085
 1021.7  ,    1464
 1046.1  ,    1395
 1070.5  ,    1028
 1095.0  ,     674
 1119.4  ,     452
 1143.8  ,     505
 1168.2  ,     677
 1192.6  ,    1123
 1217.0  ,    1616
 1241.4  ,    1919
 1265.8  ,    1650
 1290.2  ,    1228
 1314.6  ,     811
 1339.0  ,     650
 1363.4  ,     875
 1387.8  ,    1617
 1412.2  ,    3186
 1436.6  ,    5515
 1461.0  ,    7641
 1485.5  ,    7750
 1509.9  ,    5991
 1534.3  ,    3666
 1558.7  ,    2070
 1583.1  ,    1310
 1607.5  ,    1366
 1631.9  ,    2728
 1656.3  ,    5785
 1680.7  ,   10898
 1705.1  ,   16567
 1729.5  ,   18584
 1753.9  ,   15870
 1778.3  ,   10420
 1802.7  ,    5580
 1827.1  ,    2542
 1851.5  ,    1227
 1876.0  ,     756
 1900.4  ,     439
 1924.8  ,     360
 1949.2  ,     377
 1973.6  ,     441
 1998.0  ,     485
 2022.4  ,     402
 2046.8  ,     334
 2071.2  ,     233
 2095.6  ,     157
 2120.0  ,     140
 2144.4  ,     121
 2168.8  ,     114
 2193.2  ,     139
 2217.6  ,     302
 2242.0  ,     447
 2266.4  ,     636
 2290.9  ,     760
 2315.3  ,     695
 2339.7  ,     516
 2364.1  ,     330
 2388.5  ,     178
 2412.9  ,     134
 2437.3  ,      95
 2461.7  ,     116
 2486.1  ,     110
 2510.5  ,     119
 2534.9  ,     149
 2559.3  ,     223
 2583.7  ,     314
 2608.1  ,     316
 2632.5  ,     281
 2656.9  ,     223
 2681.4  ,     160
 2705.8  ,      86
 2730.2  ,      78
 2754.6  ,      59
 2779.0  ,      58
 2803.4  ,      52
 2827.8  ,      58
 2852.2  ,      51
 2876.6  ,      44
 2901.0  ,      38
 2925.4  ,      48
 2949.8  ,      49
 2974.2  ,      51
 2998.6  ,      26
 3023.0  ,      30
 3047.4  ,      29
 3071.9  ,      31
 3096.3  ,      25
 3120.7  ,      38
 3145.1  ,      43
 3169.5  ,      39
 3193.9  ,      62
 3218.3  ,      77
