"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.45    ,  0.20  
MgO     ,  6.78    ,  0.25  
Al2O3   , 11.38    ,  0.29  
SiO2    , 46.35    ,  0.64  
P2O5    ,  0.70    ,  0.07  
SO3     ,  4.82    ,  0.15  
Cl      ,  1.25    ,  0.05  
K2O     ,  0.59    ,  0.04  
CaO     ,  5.58    ,  0.10  
TiO2    ,  0.59    ,  0.05  
Cr2O3   ,  0.16    ,  0.03  
MnO     ,  0.33    ,  0.03  
FeO     , 17.82    ,  0.20  
Ni      ,  0.0187  ,  0.0035
Zn      ,  0.0270  ,  0.0025
Br      ,  0.0064  ,  0.0015
