"Target: Waternish_raster5, Contains DAT files: APB_577022544ESC20220691768_______M1.DAT"
  484.1  ,     900
  508.5  ,       0
  532.9  ,       0
  557.3  ,       0
  581.7  ,       0
  606.1  ,     111
  630.5  ,       0
  654.9  ,     119
  679.3  ,     223
  703.7  ,     246
  728.0  ,     248
  752.4  ,     207
  776.8  ,     202
  801.2  ,     188
  825.6  ,     208
  850.0  ,     207
  874.4  ,     224
  898.8  ,     233
  923.2  ,     264
  947.6  ,     368
  972.0  ,     588
  996.4  ,     803
 1020.8  ,    1057
 1045.2  ,    1016
 1069.6  ,     749
 1094.0  ,     552
 1118.4  ,     425
 1142.8  ,     474
 1167.1  ,     822
 1191.5  ,    1373
 1215.9  ,    2077
 1240.3  ,    2397
 1264.7  ,    2160
 1289.1  ,    1542
 1313.5  ,     941
 1337.9  ,     665
 1362.3  ,     683
 1386.7  ,    1078
 1411.1  ,    2164
 1435.5  ,    3719
 1459.9  ,    5218
 1484.3  ,    5466
 1508.7  ,    4311
 1533.1  ,    2753
 1557.5  ,    1483
 1581.9  ,    1040
 1606.3  ,    1204
 1630.6  ,    2321
 1655.0  ,    5108
 1679.4  ,    9497
 1703.8  ,   14492
 1728.2  ,   16596
 1752.6  ,   14480
 1777.0  ,    9454
 1801.4  ,    5206
 1825.8  ,    2352
 1850.2  ,    1151
 1874.6  ,     659
 1899.0  ,     431
 1923.4  ,     309
 1947.8  ,     206
 1972.2  ,     234
 1996.6  ,     242
 2021.0  ,     214
 2045.4  ,     213
 2069.8  ,     147
 2094.1  ,     130
 2118.5  ,      92
 2142.9  ,      94
 2167.3  ,     130
 2191.7  ,     166
 2216.1  ,     269
 2240.5  ,     488
 2264.9  ,     686
 2289.3  ,     791
 2313.7  ,     765
 2338.1  ,     552
 2362.5  ,     358
 2386.9  ,     195
 2411.3  ,     133
 2435.7  ,     119
 2460.1  ,     109
 2484.5  ,     117
 2508.9  ,     152
 2533.2  ,     174
 2557.6  ,     266
 2582.0  ,     338
 2606.4  ,     392
 2630.8  ,     396
 2655.2  ,     264
 2679.6  ,     196
 2704.0  ,     125
 2728.4  ,      61
 2752.8  ,      70
 2777.2  ,      60
 2801.6  ,      68
 2826.0  ,      72
 2850.4  ,      65
 2874.8  ,      58
 2899.2  ,      58
 2923.6  ,      59
 2948.0  ,      57
 2972.4  ,      47
 2996.7  ,      51
 3021.1  ,      35
 3045.5  ,      23
 3069.9  ,      41
 3094.3  ,      29
 3118.7  ,      32
 3143.1  ,      34
 3167.5  ,      38
 3191.9  ,      49
 3216.3  ,      70
 3240.7  ,     114
 3265.1  ,     149
 3289.5  ,     185
 3313.9  ,     195
 3338.3  ,     159
 3362.7  ,     127
 3387.1  ,      82
 3411.5  ,      62
 3435.8  ,      45
 3460.2  ,      48
 3484.6  ,      65
 3509.0  ,      96
 3533.4  ,     124
 3557.8  ,     184
 3582.2  ,     286
 3606.6  ,     478
 3631.0  ,     694
 3655.4  ,     890
 3679.8  ,    1005
 3704.2  ,     884
 3728.6  ,     644
 3753.0  ,     397
 3777.4  ,     221
 3801.8  ,     118
 3826.2  ,      57
 3850.6  ,      45
 3875.0  ,      33
 3899.3  ,      53
 3923.7  ,      77
 3948.1  ,     106
 3972.5  ,     131
 3996.9  ,     172
 4021.3  ,     149
 4045.7  ,     128
 4070.1  ,     100
 4094.5  ,      80
 4118.9  ,      47
 4143.3  ,      40
 4167.7  ,      27
 4192.1  ,      35
 4216.5  ,      27
 4240.9  ,      18
 4265.3  ,      18
 4289.7  ,      26
 4314.1  ,      22
 4338.5  ,      35
 4362.8  ,      35
 4387.2  ,      45
 4411.6  ,      65
 4436.0  ,      81
 4460.4  ,     105
 4484.8  ,     117
 4509.2  ,     111
 4533.6  ,      99
 4558.0  ,      82
 4582.4  ,      73
 4606.8  ,      72
 4631.2  ,      57
 4655.6  ,      45
 4680.0  ,      39
 4704.4  ,      38
 4728.8  ,      30
 4753.2  ,      43
 4777.6  ,      28
 4801.9  ,      24
 4826.3  ,      29
 4850.7  ,      32
 4875.1  ,      47
 4899.5  ,      31
 4923.9  ,      53
 4948.3  ,      30
 4972.7  ,      30
 4997.1  ,      32
 5021.5  ,      28
 5045.9  ,      27
 5070.3  ,      28
 5094.7  ,      27
 5119.1  ,      35
 5143.5  ,      23
 5167.9  ,      15
 5192.3  ,      25
 5216.7  ,      31
 5241.1  ,      26
 5265.4  ,      32
 5289.8  ,      40
 5314.2  ,      35
 5338.6  ,      47
 5363.0  ,      63
 5387.4  ,      62
 5411.8  ,      54
 5436.2  ,      53
 5460.6  ,      49
 5485.0  ,      40
 5509.4  ,      37
 5533.8  ,      34
 5558.2  ,      31
 5582.6  ,      44
 5607.0  ,      44
 5631.4  ,      42
 5655.8  ,      33
 5680.2  ,      41
 5704.5  ,      36
 5728.9  ,      40
 5753.3  ,      38
 5777.7  ,      56
 5802.1  ,     101
 5826.5  ,     109
 5850.9  ,     138
 5875.3  ,     149
 5899.7  ,     132
 5924.1  ,     109
 5948.5  ,     112
 5972.9  ,      86
 5997.3  ,      77
 6021.7  ,      66
 6046.1  ,      61
 6070.5  ,      71
 6094.9  ,      90
 6119.3  ,      97
 6143.7  ,     138
 6168.0  ,     145
 6192.4  ,     274
 6216.8  ,     482
 6241.2  ,     873
 6265.6  ,    1741
 6290.0  ,    2949
 6314.4  ,    4291
 6338.8  ,    5714
 6363.2  ,    6875
 6387.6  ,    7065
 6412.0  ,    6238
 6436.4  ,    4915
 6460.8  ,    3287
 6485.2  ,    1971
 6509.6  ,    1084
 6534.0  ,     514
 6558.4  ,     207
 6582.8  ,     101
 6607.2  ,      48
 6631.5  ,      47
 6655.9  ,      25
 6680.3  ,      34
 6704.7  ,      27
 6729.1  ,      38
 6753.5  ,      29
 6777.9  ,      29
 6802.3  ,      39
 6826.7  ,      63
 6851.1  ,      97
 6875.5  ,     140
 6899.9  ,     182
 6924.3  ,     345
 6948.7  ,     508
 6973.1  ,     729
 6997.5  ,     980
 7021.9  ,    1106
 7046.3  ,    1088
 7070.6  ,     949
 7095.0  ,     682
 7119.4  ,     499
 7143.8  ,     329
 7168.2  ,     179
 7192.6  ,      86
 7217.0  ,      39
 7241.4  ,      28
 7265.8  ,      23
 7290.2  ,      14
 7314.6  ,      12
 7339.0  ,      14
 7363.4  ,      13
 7387.8  ,      14
 7412.2  ,      21
 7436.6  ,      19
 7461.0  ,      23
 7485.4  ,      17
 7509.8  ,      14
 7534.1  ,       9
 7558.5  ,       9
 7582.9  ,      10
 7607.3  ,       8
 7631.7  ,       8
 7656.1  ,       8
 7680.5  ,      10
 7704.9  ,      14
 7729.3  ,       8
 7753.7  ,       6
 7778.1  ,       9
 7802.5  ,       8
 7826.9  ,       7
 7851.3  ,       7
 7875.7  ,      15
 7900.1  ,      13
 7924.5  ,      10
 7948.9  ,      13
 7973.2  ,      10
 7997.6  ,      17
 8022.0  ,      12
 8046.4  ,       7
 8070.8  ,      16
 8095.2  ,       9
 8119.6  ,       6
 8144.0  ,      11
 8168.4  ,      12
 8192.8  ,       7
 8217.2  ,       7
 8241.6  ,      16
 8266.0  ,       8
 8290.4  ,      11
 8314.8  ,      13
 8339.2  ,       8
 8363.6  ,       6
 8388.0  ,       7
 8412.4  ,      12
 8436.7  ,       8
 8461.1  ,       8
 8485.5  ,      21
 8509.9  ,      11
 8534.3  ,      24
 8558.7  ,      30
 8583.1  ,      33
 8607.5  ,      32
 8631.9  ,      34
 8656.3  ,      39
 8680.7  ,      29
 8705.1  ,      19
 8729.5  ,      13
 8753.9  ,      14
 8778.3  ,      13
 8802.7  ,       9
 8827.1  ,       5
 8851.5  ,       6
 8875.9  ,       5
 8900.2  ,       8
 8924.6  ,       7
 8949.0  ,       7
 8973.4  ,      19
 8997.8  ,      11
 9022.2  ,       9
 9046.6  ,      12
 9071.0  ,       5
 9095.4  ,      11
 9119.8  ,       8
 9144.2  ,      14
 9168.6  ,      14
 9193.0  ,      12
 9217.4  ,      10
 9241.8  ,      11
 9266.2  ,      22
 9290.6  ,      15
 9315.0  ,      12
 9339.3  ,       7
 9363.7  ,       4
 9388.1  ,       6
 9412.5  ,       7
 9436.9  ,      13
 9461.3  ,      14
 9485.7  ,       6
 9510.1  ,      15
 9534.5  ,      14
 9558.9  ,      10
 9583.3  ,      12
 9607.7  ,      10
 9632.1  ,      11
 9656.5  ,       9
 9680.9  ,       9
 9705.3  ,       8
 9729.7  ,      12
 9754.1  ,      10
 9778.5  ,       6
 9802.8  ,       7
 9827.2  ,      12
 9851.6  ,       6
 9876.0  ,       7
 9900.4  ,       4
 9924.8  ,      14
 9949.2  ,       3
 9973.6  ,       7
 9998.0  ,       8
10022.4  ,       9
10046.8  ,       9
10071.2  ,       8
10095.6  ,       4
10120.0  ,       4
10144.4  ,       9
10168.8  ,       8
10193.2  ,       5
10217.6  ,       9
10241.9  ,       5
10266.3  ,       9
10290.7  ,      14
10315.1  ,       8
10339.5  ,      12
10363.9  ,       9
