"Target: Waternish_raster2, Contains DAT files: APB_577018684ESC20220691768_______M1.DAT"
  484.9  ,     968
  509.3  ,       0
  533.7  ,       0
  558.1  ,       0
  582.5  ,       0
  606.9  ,     111
  631.3  ,       0
  655.7  ,     126
  680.1  ,     274
  704.5  ,     289
  728.9  ,     267
  753.3  ,     232
  777.7  ,     241
  802.1  ,     235
  826.5  ,     243
  850.9  ,     261
  875.3  ,     231
  899.7  ,     237
  924.1  ,     268
  948.5  ,     428
  972.9  ,     610
  997.3  ,     952
 1021.7  ,    1170
 1046.1  ,    1135
 1070.5  ,     871
 1094.9  ,     558
 1119.3  ,     510
 1143.7  ,     542
 1168.1  ,     829
 1192.5  ,    1417
 1216.9  ,    2029
 1241.3  ,    2375
 1265.7  ,    2111
 1290.1  ,    1559
 1314.5  ,     974
 1338.9  ,     700
 1363.3  ,     766
 1387.7  ,    1222
 1412.1  ,    2627
 1436.5  ,    4247
 1460.8  ,    5804
 1485.2  ,    6052
 1509.6  ,    4721
 1534.0  ,    2916
 1558.4  ,    1669
 1582.8  ,    1096
 1607.2  ,    1417
 1631.6  ,    2620
 1656.0  ,    5956
 1680.4  ,   10862
 1704.8  ,   15917
 1729.2  ,   18104
 1753.6  ,   15758
 1778.0  ,   10235
 1802.4  ,    5525
 1826.8  ,    2593
 1851.2  ,    1314
 1875.6  ,     753
 1900.0  ,     497
 1924.4  ,     320
 1948.8  ,     296
 1973.2  ,     302
 1997.6  ,     315
 2022.0  ,     304
 2046.4  ,     260
 2070.8  ,     192
 2095.2  ,     151
 2119.6  ,     137
 2144.0  ,     131
 2168.4  ,     146
 2192.8  ,     198
 2217.2  ,     343
 2241.6  ,     613
 2266.0  ,     840
 2290.4  ,     988
 2314.8  ,     945
 2339.2  ,     748
 2363.6  ,     444
 2388.0  ,     251
 2412.4  ,     163
 2436.8  ,     130
 2461.2  ,     130
 2485.6  ,     153
 2510.0  ,     165
 2534.4  ,     275
 2558.8  ,     370
 2583.2  ,     480
 2607.6  ,     582
 2632.0  ,     459
 2656.4  ,     394
