"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.76    ,  0.14  
MgO     ,  5.38    ,  0.17  
Al2O3   ,  9.09    ,  0.19  
SiO2    , 46.81    ,  0.54  
P2O5    ,  1.11    ,  0.07  
SO3     ,  5.48    ,  0.08  
Cl      ,  1.70    ,  0.03  
K2O     ,  0.82    ,  0.04  
CaO     ,  3.15    ,  0.04  
TiO2    ,  1.05    ,  0.03  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.10    ,  0.01  
FeO     , 21.90    ,  0.26  
Ni      ,  0.0838  ,  0.0045
Zn      ,  0.1229  ,  0.0040
Br      ,  0.0148  ,  0.0005
