"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.55    ,  0.14  
MgO     ,  6.06    ,  0.17  
Al2O3   ,  8.59    ,  0.19  
SiO2    , 47.84    ,  0.54  
P2O5    ,  0.99    ,  0.07  
SO3     ,  5.21    ,  0.10  
Cl      ,  1.60    ,  0.04  
K2O     ,  1.00    ,  0.04  
CaO     ,  3.45    ,  0.06  
TiO2    ,  1.08    ,  0.05  
Cr2O3   ,  0.31    ,  0.03  
MnO     ,  0.22    ,  0.03  
FeO     , 20.63    ,  0.26  
Ni      ,  0.1005  ,  0.0055
Zn      ,  0.1157  ,  0.0035
Br      ,  0.1232  ,  0.0040
