"Target: APXS_Drill_Site_Raster_Integration_Site4, Contains DAT files: APB_417936188ESC02300060000_______M2.DAT"
  483.2  ,    1329
  507.6  ,       0
  532.0  ,       0
  556.4  ,       0
  580.8  ,       0
  605.2  ,     116
  629.7  ,       0
  654.1  ,       0
  678.5  ,      19
  702.9  ,     147
  727.3  ,     133
  751.7  ,     121
  776.1  ,     143
  800.5  ,     129
  824.9  ,     122
  849.3  ,     111
  873.8  ,     125
  898.2  ,     133
  922.6  ,     170
  947.0  ,     200
  971.4  ,     276
  995.8  ,     376
 1020.2  ,     452
 1044.6  ,     450
 1069.0  ,     368
 1093.4  ,     269
 1117.9  ,     277
 1142.3  ,     365
 1166.7  ,     539
 1191.1  ,     837
 1215.5  ,    1293
 1239.9  ,    1403
 1264.3  ,    1329
 1288.7  ,     957
 1313.1  ,     611
 1337.5  ,     387
 1362.0  ,     393
 1386.4  ,     560
 1410.8  ,     935
 1435.2  ,    1428
 1459.6  ,    1897
 1484.0  ,    1981
 1508.4  ,    1631
 1532.8  ,    1216
 1557.2  ,     711
 1581.6  ,     568
 1606.1  ,     688
 1630.5  ,    1333
 1654.9  ,    2700
 1679.3  ,    4683
 1703.7  ,    6620
 1728.1  ,    7601
 1752.5  ,    6889
 1776.9  ,    4858
 1801.3  ,    2838
 1825.7  ,    1514
 1850.2  ,     747
 1874.6  ,     424
 1899.0  ,     243
 1923.4  ,     187
 1947.8  ,     157
 1972.2  ,     140
 1996.6  ,     180
 2021.0  ,     154
 2045.4  ,     132
 2069.8  ,     126
 2094.3  ,     103
 2118.7  ,      76
 2143.1  ,      76
 2167.5  ,      77
 2191.9  ,     136
 2216.3  ,     179
 2240.7  ,     261
 2265.1  ,     436
 2289.5  ,     462
 2313.9  ,     458
 2338.4  ,     351
 2362.8  ,     244
 2387.2  ,     177
 2411.6  ,      95
 2436.0  ,      67
 2460.4  ,      59
 2484.8  ,      55
 2509.2  ,      78
 2533.6  ,      72
 2558.0  ,      85
 2582.5  ,      94
 2606.9  ,      99
 2631.3  ,     122
 2655.7  ,      72
 2680.1  ,      72
 2704.5  ,      54
 2728.9  ,      37
 2753.3  ,      32
 2777.7  ,      29
 2802.1  ,      32
 2826.6  ,      38
 2851.0  ,      37
 2875.4  ,      42
 2899.8  ,      62
 2924.2  ,      59
 2948.6  ,      58
 2973.0  ,      67
 2997.4  ,      54
 3021.8  ,      35
 3046.2  ,      30
 3070.7  ,      22
 3095.1  ,      30
 3119.5  ,      33
 3143.9  ,      32
 3168.3  ,      37
 3192.7  ,      34
 3217.1  ,      54
 3241.5  ,      65
 3265.9  ,      94
 3290.3  ,     117
 3314.8  ,      95
 3339.2  ,      89
 3363.6  ,      94
 3388.0  ,      61
 3412.4  ,      41
 3436.8  ,      32
 3461.2  ,      38
 3485.6  ,      45
 3510.0  ,      59
 3534.4  ,      71
 3558.9  ,     127
 3583.3  ,     199
 3607.7  ,     325
 3632.1  ,     484
 3656.5  ,     660
 3680.9  ,     691
 3705.3  ,     632
 3729.7  ,     523
 3754.1  ,     323
 3778.5  ,     199
 3803.0  ,     104
 3827.4  ,      56
 3851.8  ,      53
 3876.2  ,      33
 3900.6  ,      51
 3925.0  ,      47
 3949.4  ,      88
 3973.8  ,     105
 3998.2  ,     100
 4022.6  ,     121
 4047.1  ,      92
 4071.5  ,      72
 4095.9  ,      37
 4120.3  ,      29
 4144.7  ,      31
 4169.1  ,      21
 4193.5  ,      11
 4217.9  ,      22
 4242.3  ,      10
 4266.7  ,      16
 4291.2  ,      15
 4315.6  ,      17
 4340.0  ,      19
 4364.4  ,      25
 4388.8  ,      25
 4413.2  ,      46
 4437.6  ,      49
 4462.0  ,      87
 4486.4  ,      90
 4510.8  ,     100
 4535.3  ,      81
 4559.7  ,      71
 4584.1  ,      43
 4608.5  ,      47
 4632.9  ,      45
 4657.3  ,      36
 4681.7  ,      29
 4706.1  ,      26
 4730.5  ,      18
 4754.9  ,      20
 4779.4  ,      26
 4803.8  ,      19
 4828.2  ,      29
 4852.6  ,      25
 4877.0  ,      28
 4901.4  ,      15
 4925.8  ,      24
 4950.2  ,      29
 4974.6  ,      29
 4999.0  ,      31
 5023.5  ,      22
 5047.9  ,      24
 5072.3  ,      22
 5096.7  ,      22
 5121.1  ,      24
 5145.5  ,      22
 5169.9  ,      14
 5194.3  ,      26
 5218.7  ,      21
 5243.1  ,      26
 5267.6  ,      24
 5292.0  ,      47
 5316.4  ,      35
 5340.8  ,      49
 5365.2  ,      49
 5389.6  ,      64
 5414.0  ,      56
 5438.4  ,      47
 5462.8  ,      44
 5487.2  ,      34
 5511.7  ,      20
 5536.1  ,      23
 5560.5  ,      30
 5584.9  ,      20
 5609.3  ,      19
 5633.7  ,      35
 5658.1  ,      22
 5682.5  ,      27
 5706.9  ,      33
 5731.3  ,      30
 5755.8  ,      31
 5780.2  ,      40
 5804.6  ,      48
 5829.0  ,      66
 5853.4  ,      69
 5877.8  ,      70
 5902.2  ,      69
 5926.6  ,      85
 5951.0  ,      64
 5975.4  ,      48
 5999.9  ,      61
 6024.3  ,      47
 6048.7  ,      35
 6073.1  ,      60
 6097.5  ,      51
 6121.9  ,      61
 6146.3  ,      79
 6170.7  ,      85
 6195.1  ,     162
 6219.5  ,     273
 6244.0  ,     553
 6268.4  ,     974
 6292.8  ,    1666
 6317.2  ,    2383
 6341.6  ,    3339
 6366.0  ,    3791
 6390.4  ,    4154
 6414.8  ,    3566
 6439.2  ,    2929
 6463.6  ,    2054
 6488.1  ,    1279
 6512.5  ,     690
 6536.9  ,     329
 6561.3  ,     145
 6585.7  ,      73
 6610.1  ,      49
 6634.5  ,      31
 6658.9  ,      22
 6683.3  ,      24
 6707.7  ,      30
 6732.2  ,      21
 6756.6  ,      23
 6781.0  ,      29
