"Target: APXS_Drill_Site_Raster_Integration_Site5, Contains DAT files: APB_417937717ESC02300060000_______M2.DAT"
  482.6  ,    1329
  507.0  ,       0
  531.4  ,       0
  555.8  ,       0
  580.3  ,       0
  604.7  ,     116
  629.1  ,       0
  653.5  ,       0
  677.9  ,      46
  702.3  ,     176
  726.7  ,     127
  751.2  ,     117
  775.6  ,     106
  800.0  ,     114
  824.4  ,     117
  848.8  ,     116
  873.2  ,     123
  897.6  ,     135
  922.0  ,     150
  946.5  ,     171
  970.9  ,     258
  995.3  ,     376
 1019.7  ,     474
 1044.1  ,     459
 1068.5  ,     371
 1092.9  ,     280
 1117.4  ,     258
 1141.8  ,     294
 1166.2  ,     482
 1190.6  ,     867
 1215.0  ,    1275
 1239.4  ,    1543
 1263.8  ,    1368
 1288.3  ,     973
 1312.7  ,     606
 1337.1  ,     336
 1361.5  ,     316
 1385.9  ,     450
 1410.3  ,     903
 1434.7  ,    1532
 1459.2  ,    2072
 1483.6  ,    2137
 1508.0  ,    1670
 1532.4  ,    1110
 1556.8  ,     715
 1581.2  ,     455
 1605.6  ,     569
 1630.1  ,    1049
 1654.5  ,    2465
 1678.9  ,    4690
 1703.3  ,    6850
 1727.7  ,    8165
 1752.1  ,    7240
 1776.5  ,    4919
 1800.9  ,    2673
 1825.4  ,    1259
 1849.8  ,     664
 1874.2  ,     358
 1898.6  ,     222
 1923.0  ,     180
 1947.4  ,     141
 1971.8  ,     160
 1996.3  ,     190
 2020.7  ,     175
 2045.1  ,     155
 2069.5  ,      74
 2093.9  ,      69
 2118.3  ,      57
 2142.7  ,      79
 2167.2  ,      57
 2191.6  ,     101
 2216.0  ,     177
 2240.4  ,     252
 2264.8  ,     428
 2289.2  ,     479
 2313.6  ,     482
 2338.1  ,     366
 2362.5  ,     267
 2386.9  ,     170
 2411.3  ,      95
 2435.7  ,      66
 2460.1  ,      61
 2484.5  ,      77
 2509.0  ,      54
 2533.4  ,      69
 2557.8  ,      91
 2582.2  ,     103
 2606.6  ,     105
 2631.0  ,      96
 2655.4  ,      99
 2679.8  ,      57
 2704.3  ,      40
 2728.7  ,      31
 2753.1  ,      28
 2777.5  ,      30
 2801.9  ,      30
 2826.3  ,      41
 2850.7  ,      31
 2875.2  ,      34
 2899.6  ,      66
 2924.0  ,      60
 2948.4  ,      61
 2972.8  ,      54
 2997.2  ,      67
 3021.6  ,      32
 3046.1  ,      32
 3070.5  ,      28
 3094.9  ,      22
 3119.3  ,      31
 3143.7  ,      19
 3168.1  ,      26
 3192.5  ,      51
 3217.0  ,      55
 3241.4  ,      45
 3265.8  ,      78
 3290.2  ,     112
 3314.6  ,     120
 3339.0  ,      90
 3363.4  ,      63
 3387.9  ,      55
 3412.3  ,      43
 3436.7  ,      43
 3461.1  ,      37
 3485.5  ,      32
 3509.9  ,      58
 3534.3  ,      79
 3558.7  ,     119
 3583.2  ,     215
 3607.6  ,     354
 3632.0  ,     568
 3656.4  ,     651
 3680.8  ,     761
 3705.2  ,     644
 3729.6  ,     501
 3754.1  ,     310
 3778.5  ,     172
 3802.9  ,      82
 3827.3  ,      48
 3851.7  ,      27
 3876.1  ,      35
 3900.5  ,      30
 3925.0  ,      47
 3949.4  ,      72
 3973.8  ,      91
 3998.2  ,     115
 4022.6  ,      97
 4047.0  ,      96
 4071.4  ,      77
 4095.9  ,      65
 4120.3  ,      39
 4144.7  ,      27
 4169.1  ,      24
 4193.5  ,      15
 4217.9  ,      24
 4242.3  ,      19
 4266.8  ,      17
 4291.2  ,      19
 4315.6  ,      13
 4340.0  ,      19
 4364.4  ,      26
 4388.8  ,      31
 4413.2  ,      46
 4437.6  ,      66
 4462.1  ,      67
 4486.5  ,      73
 4510.9  ,     102
 4535.3  ,      83
 4559.7  ,      62
 4584.1  ,      51
 4608.5  ,      45
 4633.0  ,      36
 4657.4  ,      30
 4681.8  ,      31
 4706.2  ,      24
 4730.6  ,      20
 4755.0  ,      20
 4779.4  ,      21
 4803.9  ,      19
 4828.3  ,      19
 4852.7  ,      40
 4877.1  ,      29
 4901.5  ,      21
 4925.9  ,      45
 4950.3  ,      20
 4974.8  ,      19
 4999.2  ,      28
 5023.6  ,      12
 5048.0  ,      26
 5072.4  ,      20
 5096.8  ,      17
 5121.2  ,      18
 5145.7  ,      17
 5170.1  ,      17
 5194.5  ,      17
 5218.9  ,      16
 5243.3  ,      26
 5267.7  ,      19
 5292.1  ,      38
 5316.5  ,      44
 5341.0  ,      41
 5365.4  ,      51
 5389.8  ,      55
 5414.2  ,      65
 5438.6  ,      55
 5463.0  ,      54
 5487.4  ,      27
 5511.9  ,      37
 5536.3  ,      23
 5560.7  ,      20
 5585.1  ,      24
 5609.5  ,      27
 5633.9  ,      17
 5658.3  ,      26
 5682.8  ,      26
 5707.2  ,      33
 5731.6  ,      26
 5756.0  ,      35
 5780.4  ,      37
 5804.8  ,      51
 5829.2  ,      65
 5853.7  ,      59
 5878.1  ,      62
 5902.5  ,      78
 5926.9  ,      65
 5951.3  ,      63
 5975.7  ,      55
 6000.1  ,      47
 6024.6  ,      42
 6049.0  ,      57
 6073.4  ,      55
 6097.8  ,      52
 6122.2  ,      50
 6146.6  ,      65
 6171.0  ,     108
 6195.4  ,     140
 6219.9  ,     248
 6244.3  ,     465
 6268.7  ,     904
 6293.1  ,    1513
 6317.5  ,    2459
 6341.9  ,    3237
 6366.3  ,    3933
 6390.8  ,    4002
 6415.2  ,    3678
 6439.6  ,    2942
 6464.0  ,    1965
 6488.4  ,    1194
 6512.8  ,     589
 6537.2  ,     296
 6561.7  ,     124
 6586.1  ,      62
 6610.5  ,      35
 6634.9  ,      26
 6659.3  ,      25
 6683.7  ,      26
 6708.1  ,      20
 6732.6  ,      28
 6757.0  ,      29
 6781.4  ,      31
 6805.8  ,      30
 6830.2  ,      49
 6854.6  ,      41
 6879.0  ,      78
 6903.5  ,     103
 6927.9  ,     208
 6952.3  ,     336
 6976.7  ,     418
 7001.1  ,     539
 7025.5  ,     597
 7049.9  ,     607
 7074.3  ,     544
 7098.8  ,     454
 7123.2  ,     323
 7147.6  ,     200
 7172.0  ,      99
 7196.4  ,      57
 7220.8  ,      24
 7245.2  ,      18
 7269.7  ,      12
 7294.1  ,       8
 7318.5  ,       7
 7342.9  ,      13
 7367.3  ,       9
 7391.7  ,      26
 7416.1  ,      19
 7440.6  ,      26
 7465.0  ,      27
 7489.4  ,      19
 7513.8  ,      20
 7538.2  ,      24
 7562.6  ,      10
 7587.0  ,      10
 7611.5  ,      10
 7635.9  ,       5
 7660.3  ,      10
 7684.7  ,       7
 7709.1  ,      13
 7733.5  ,       5
 7757.9  ,      10
 7782.4  ,       6
 7806.8  ,      15
 7831.2  ,      10
 7855.6  ,       9
 7880.0  ,      11
 7904.4  ,      10
 7928.8  ,       6
 7953.2  ,       8
 7977.7  ,      13
 8002.1  ,       8
 8026.5  ,      15
 8050.9  ,      10
 8075.3  ,      11
 8099.7  ,      10
 8124.1  ,       5
 8148.6  ,       7
 8173.0  ,       4
 8197.4  ,       6
 8221.8  ,      13
 8246.2  ,       6
 8270.6  ,      16
 8295.0  ,      12
 8319.5  ,      15
 8343.9  ,      10
