"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.32    ,  0.13  
MgO     ,  6.67    ,  0.17  
Al2O3   ,  8.67    ,  0.19  
SiO2    , 43.44    ,  0.53  
P2O5    ,  0.57    ,  0.05  
SO3     ,  5.42    ,  0.07  
Cl      ,  0.50    ,  0.01  
K2O     ,  0.62    ,  0.02  
CaO     ,  7.94    ,  0.08  
TiO2    ,  1.27    ,  0.05  
Cr2O3   ,  0.36    ,  0.01  
MnO     ,  0.26    ,  0.01  
FeO     , 21.64    ,  0.26  
Ni      ,  0.0422  ,  0.0025
Zn      ,  0.0740  ,  0.0025
Br      ,  0.0071  ,  0.0005
