"Target: APXS_Drill_Site_Raster_Integration_Site1, Contains DAT files: APB_417931568ESC02300060000_______M2.DAT"
  484.5  ,    1329
  508.9  ,       0
  533.4  ,       0
  557.8  ,       0
  582.2  ,       0
  606.6  ,     116
  631.1  ,       0
  655.5  ,       0
  679.9  ,       0
  704.3  ,       1
  728.8  ,     136
  753.2  ,     112
  777.6  ,     102
  802.0  ,     104
  826.5  ,     126
  850.9  ,     105
  875.3  ,     111
  899.7  ,     112
  924.2  ,     155
  948.6  ,     161
  973.0  ,     214
  997.5  ,     241
 1021.9  ,     220
 1046.3  ,     271
 1070.7  ,     278
 1095.2  ,     271
 1119.6  ,     285
 1144.0  ,     395
 1168.4  ,     452
 1192.9  ,     580
 1217.3  ,     662
 1241.7  ,     677
 1266.1  ,     651
 1290.6  ,     617
 1315.0  ,     552
 1339.4  ,     526
 1363.8  ,     469
 1388.3  ,     616
 1412.7  ,     746
 1437.1  ,     870
 1461.6  ,     894
 1486.0  ,     901
 1510.4  ,     881
 1534.8  ,     879
 1559.3  ,     901
 1583.7  ,    1007
 1608.1  ,    1275
 1632.5  ,    1644
 1657.0  ,    2183
 1681.4  ,    2713
 1705.8  ,    3089
 1730.2  ,    3300
 1754.7  ,    3094
 1779.1  ,    2752
 1803.5  ,    2143
 1827.9  ,    1661
 1852.4  ,    1072
 1876.8  ,     731
 1901.2  ,     425
 1925.7  ,     280
 1950.1  ,     175
 1974.5  ,     156
 1998.9  ,     140
 2023.4  ,     110
 2047.8  ,      83
 2072.2  ,      78
 2096.6  ,      82
 2121.1  ,      82
 2145.5  ,      95
 2169.9  ,      99
 2194.3  ,     121
 2218.8  ,     159
 2243.2  ,     200
 2267.6  ,     240
 2292.0  ,     244
 2316.5  ,     237
 2340.9  ,     205
 2365.3  ,     193
 2389.8  ,     145
 2414.2  ,     111
 2438.6  ,      92
 2463.0  ,      65
 2487.5  ,      78
 2511.9  ,      60
 2536.3  ,      51
 2560.7  ,      68
 2585.2  ,      51
 2609.6  ,      69
 2634.0  ,      67
 2658.4  ,      51
 2682.9  ,      56
 2707.3  ,      45
 2731.7  ,      32
 2756.1  ,      36
 2780.6  ,      22
 2805.0  ,      39
 2829.4  ,      32
 2853.9  ,      44
 2878.3  ,      45
 2902.7  ,      56
 2927.1  ,      51
 2951.6  ,      61
 2976.0  ,      50
 3000.4  ,      40
 3024.8  ,      37
 3049.3  ,      27
 3073.7  ,      31
 3098.1  ,      24
 3122.5  ,      18
 3147.0  ,      31
 3171.4  ,      30
 3195.8  ,      36
 3220.2  ,      41
 3244.7  ,      46
 3269.1  ,      49
 3293.5  ,      64
 3318.0  ,      44
 3342.4  ,      53
 3366.8  ,      45
 3391.2  ,      48
 3415.7  ,      45
 3440.1  ,      33
 3464.5  ,      47
 3488.9  ,      56
 3513.4  ,      67
 3537.8  ,     107
 3562.2  ,     153
 3586.6  ,     184
 3611.1  ,     258
 3635.5  ,     298
 3659.9  ,     346
 3684.3  ,     361
 3708.8  ,     304
 3733.2  ,     291
 3757.6  ,     250
 3782.0  ,     188
 3806.5  ,     123
 3830.9  ,      79
 3855.3  ,      58
 3879.8  ,      49
 3904.2  ,      40
 3928.6  ,      33
 3953.0  ,      43
 3977.5  ,      50
 4001.9  ,      67
 4026.3  ,      50
 4050.7  ,      50
 4075.2  ,      45
 4099.6  ,      41
 4124.0  ,      23
 4148.4  ,      23
 4172.9  ,      23
 4197.3  ,      13
 4221.7  ,      11
 4246.1  ,      16
 4270.6  ,      17
 4295.0  ,      14
 4319.4  ,      28
 4343.9  ,      18
 4368.3  ,      22
 4392.7  ,      34
 4417.1  ,      46
 4441.6  ,      47
 4466.0  ,      40
 4490.4  ,      59
 4514.8  ,      50
 4539.3  ,      43
 4563.7  ,      37
 4588.1  ,      45
 4612.5  ,      26
 4637.0  ,      35
 4661.4  ,      40
 4685.8  ,      24
 4710.2  ,      16
 4734.7  ,      18
 4759.1  ,      16
 4783.5  ,      17
 4808.0  ,      24
 4832.4  ,      19
 4856.8  ,      11
 4881.2  ,      16
 4905.7  ,      14
 4930.1  ,      21
 4954.5  ,      18
 4978.9  ,      19
 5003.4  ,      14
 5027.8  ,      22
 5052.2  ,      13
 5076.6  ,      16
 5101.1  ,      10
 5125.5  ,      17
 5149.9  ,      18
 5174.3  ,      14
 5198.8  ,      17
 5223.2  ,      21
 5247.6  ,      15
 5272.1  ,      27
 5296.5  ,      24
 5320.9  ,      29
 5345.3  ,      28
 5369.8  ,      31
 5394.2  ,      48
 5418.6  ,      35
 5443.0  ,      37
 5467.5  ,      36
 5491.9  ,      29
 5516.3  ,      29
 5540.7  ,      26
 5565.2  ,      22
 5589.6  ,      24
 5614.0  ,      25
 5638.4  ,      16
 5662.9  ,      19
 5687.3  ,      34
 5711.7  ,      11
 5736.2  ,      21
 5760.6  ,      30
 5785.0  ,      26
 5809.4  ,      40
 5833.9  ,      39
 5858.3  ,      34
 5882.7  ,      38
 5907.1  ,      38
 5931.6  ,      41
 5956.0  ,      41
 5980.4  ,      51
 6004.8  ,      36
 6029.3  ,      36
 6053.7  ,      30
 6078.1  ,      55
 6102.5  ,      53
 6127.0  ,      87
 6151.4  ,     110
 6175.8  ,     159
 6200.3  ,     281
 6224.7  ,     467
 6249.1  ,     696
 6273.5  ,     944
 6298.0  ,    1255
 6322.4  ,    1513
 6346.8  ,    1745
 6371.2  ,    1913
 6395.7  ,    1929
 6420.1  ,    1799
 6444.5  ,    1536
 6468.9  ,    1311
 6493.4  ,     938
 6517.8  ,     661
 6542.2  ,     430
 6566.6  ,     272
 6591.1  ,     152
 6615.5  ,      95
 6639.9  ,      40
 6664.4  ,      39
 6688.8  ,      21
 6713.2  ,      16
 6737.6  ,      23
 6762.1  ,      24
 6786.5  ,      30
 6810.9  ,      43
 6835.3  ,      63
 6859.8  ,      77
 6884.2  ,      83
 6908.6  ,     137
 6933.0  ,     163
 6957.5  ,     224
 6981.9  ,     289
 7006.3  ,     314
 7030.7  ,     345
 7055.2  ,     311
 7079.6  ,     296
 7104.0  ,     242
 7128.5  ,     209
 7152.9  ,     151
 7177.3  ,     103
 7201.7  ,      85
 7226.2  ,      42
 7250.6  ,      32
 7275.0  ,      26
 7299.4  ,      11
 7323.9  ,      10
 7348.3  ,      11
 7372.7  ,      13
 7397.1  ,      18
 7421.6  ,      18
 7446.0  ,      15
 7470.4  ,      19
 7494.8  ,      22
 7519.3  ,      16
 7543.7  ,       9
 7568.1  ,      12
 7592.6  ,      11
 7617.0  ,      10
 7641.4  ,      10
 7665.8  ,       9
 7690.3  ,       8
 7714.7  ,       5
 7739.1  ,      10
 7763.5  ,       9
 7788.0  ,       8
 7812.4  ,      13
 7836.8  ,      13
 7861.2  ,       8
 7885.7  ,       8
 7910.1  ,       9
 7934.5  ,       8
 7958.9  ,      11
 7983.4  ,      11
 8007.8  ,       4
 8032.2  ,       9
 8056.7  ,       8
 8081.1  ,      10
 8105.5  ,      10
 8129.9  ,       9
 8154.4  ,       9
 8178.8  ,       5
 8203.2  ,      10
 8227.6  ,       5
 8252.1  ,      10
 8276.5  ,      16
 8300.9  ,      11
 8325.3  ,       6
 8349.8  ,       7
 8374.2  ,      10
