"Target: APXS_Drill_Site_Raster_Integration_Site3, Contains DAT files: APB_417934656ESC02300060000_______M2.DAT"
 7440.9  ,      25
 7465.3  ,      29
 7489.7  ,      24
 7514.1  ,      28
 7538.5  ,      16
 7563.0  ,       8
 7587.4  ,      14
 7611.8  ,       9
 7636.2  ,       9
 7660.6  ,      12
 7685.0  ,      10
 7709.4  ,      13
 7733.8  ,       7
 7758.3  ,      15
 7782.7  ,       5
 7807.1  ,       8
 7831.5  ,       5
 7855.9  ,       7
 7880.3  ,      13
 7904.7  ,      10
 7929.1  ,       8
 7953.6  ,      13
 7978.0  ,       7
 8002.4  ,      10
 8026.8  ,       8
 8051.2  ,       8
 8075.6  ,      11
 8100.0  ,      16
 8124.4  ,       4
 8148.9  ,      11
 8173.3  ,      15
 8197.7  ,       5
 8222.1  ,      10
 8246.5  ,      15
 8270.9  ,       7
 8295.3  ,       9
 8319.7  ,      12
 8344.2  ,      11
 8368.6  ,      13
 8393.0  ,       5
 8417.4  ,      16
 8441.8  ,      15
 8466.2  ,      20
 8490.6  ,      15
 8515.0  ,      22
 8539.5  ,      27
 8563.9  ,      22
 8588.3  ,      43
 8612.7  ,      46
 8637.1  ,      30
 8661.5  ,      49
 8685.9  ,      38
 8710.3  ,      20
 8734.8  ,      19
 8759.2  ,      13
 8783.6  ,      13
 8808.0  ,       5
 8832.4  ,       9
 8856.8  ,       9
 8881.2  ,      13
 8905.7  ,       8
 8930.1  ,       9
 8954.5  ,       3
 8978.9  ,       9
 9003.3  ,      14
 9027.7  ,      15
 9052.1  ,       6
 9076.5  ,      11
 9101.0  ,      14
 9125.4  ,      11
 9149.8  ,       6
 9174.2  ,      10
 9198.6  ,      11
 9223.0  ,       5
 9247.4  ,       8
 9271.8  ,      13
 9296.3  ,       9
 9320.7  ,       7
 9345.1  ,       9
 9369.5  ,       7
 9393.9  ,       8
 9418.3  ,       8
 9442.7  ,      13
 9467.1  ,      12
 9491.6  ,      13
 9516.0  ,      10
 9540.4  ,       9
 9564.8  ,      11
 9589.2  ,      22
 9613.6  ,      16
 9638.0  ,       8
 9662.4  ,      14
 9686.9  ,      18
 9711.3  ,      11
 9735.7  ,      15
 9760.1  ,      10
 9784.5  ,      11
 9808.9  ,      11
 9833.3  ,       9
 9857.7  ,      13
 9882.2  ,      10
 9906.6  ,      16
 9931.0  ,      12
 9955.4  ,      14
 9979.8  ,      15
10004.2  ,       9
10028.6  ,       8
10053.0  ,       6
10077.5  ,       9
10101.9  ,       9
10126.3  ,       5
10150.7  ,       6
10175.1  ,       8
10199.5  ,       6
10223.9  ,       5
10248.3  ,      12
10272.8  ,       7
10297.2  ,       6
10321.6  ,       2
10346.0  ,       5
10370.4  ,      12
10394.8  ,       5
10419.2  ,       6
10443.6  ,       7
10468.1  ,       6
10492.5  ,      13
10516.9  ,       5
10541.3  ,      10
10565.7  ,      10
10590.1  ,       5
10614.5  ,       6
10638.9  ,       7
10663.4  ,       6
10687.8  ,       7
10712.2  ,       7
10736.6  ,       4
10761.0  ,       7
10785.4  ,       8
10809.8  ,      13
10834.2  ,      10
10858.7  ,       6
10883.1  ,       8
10907.5  ,      12
10931.9  ,       9
10956.3  ,      12
10980.7  ,       4
11005.1  ,      11
11029.5  ,      13
11054.0  ,       9
11078.4  ,       3
11102.8  ,      12
11127.2  ,       4
11151.6  ,       9
11176.0  ,       7
11200.4  ,      13
11224.8  ,       6
11249.3  ,       8
11273.7  ,       9
11298.1  ,       8
11322.5  ,      10
11346.9  ,       5
11371.3  ,      10
11395.7  ,       6
11420.1  ,       9
11444.6  ,      10
11469.0  ,       6
11493.4  ,      10
11517.8  ,      15
11542.2  ,       6
11566.6  ,      11
11591.0  ,      10
11615.4  ,      11
11639.9  ,      16
11664.3  ,      23
11688.7  ,      19
11713.1  ,      19
11737.5  ,      19
11761.9  ,      27
11786.3  ,      38
11810.8  ,      46
11835.2  ,      52
11859.6  ,      54
11884.0  ,      70
11908.4  ,      55
11932.8  ,      60
11957.2  ,      60
11981.6  ,      54
12006.1  ,      38
12030.5  ,      37
12054.9  ,      33
12079.3  ,      19
12103.7  ,      20
12128.1  ,      20
12152.5  ,      22
12176.9  ,      17
12201.4  ,      14
12225.8  ,      18
12250.2  ,      11
12274.6  ,       9
12299.0  ,       9
12323.4  ,       9
12347.8  ,      10
12372.2  ,       8
12396.7  ,       9
12421.1  ,      11
12445.5  ,       9
12469.9  ,       6
12494.3  ,      16
12518.7  ,      13
12543.1  ,      12
12567.5  ,      12
12592.0  ,       7
12616.4  ,      15
12640.8  ,      17
12665.2  ,      11
12689.6  ,      18
12714.0  ,      13
12738.4  ,      16
12762.8  ,      15
12787.3  ,      19
12811.7  ,      16
12836.1  ,      17
12860.5  ,      14
12884.9  ,      17
12909.3  ,      11
12933.7  ,      16
12958.1  ,      26
12982.6  ,      26
13007.0  ,      17
13031.4  ,      24
13055.8  ,      23
13080.2  ,      21
13104.6  ,      38
13129.0  ,      33
13153.4  ,      46
13177.9  ,      34
13202.3  ,      50
13226.7  ,      63
13251.1  ,      52
13275.5  ,      53
13299.9  ,      59
13324.3  ,      64
13348.7  ,      75
13373.2  ,      77
13397.6  ,      74
13422.0  ,      72
13446.4  ,      76
13470.8  ,      80
13495.2  ,      89
13519.6  ,      88
13544.0  ,      80
13568.5  ,      82
13592.9  ,      75
13617.3  ,      70
13641.7  ,      53
13666.1  ,      85
13690.5  ,      71
13714.9  ,      57
13739.3  ,      43
13763.8  ,      48
13788.2  ,      53
13812.6  ,      41
13837.0  ,      39
13861.4  ,      28
13885.8  ,      34
13910.2  ,      33
13934.6  ,      36
13959.1  ,      35
13983.5  ,      32
14007.9  ,      39
14032.3  ,      50
14056.7  ,      67
14081.1  ,      58
14105.5  ,      80
14129.9  ,      88
14154.4  ,      86
14178.8  ,      90
14203.2  ,     128
14227.6  ,     131
14252.0  ,     126
14276.4  ,     137
14300.8  ,     148
14325.2  ,      91
14349.7  ,      99
14374.1  ,      85
14398.5  ,      62
14422.9  ,      47
14447.3  ,      29
14471.7  ,      29
14496.1  ,      15
14520.6  ,      17
14545.0  ,      17
14569.4  ,      13
14593.8  ,       6
14618.2  ,      14
14642.6  ,      13
14667.0  ,       9
14691.4  ,       9
14715.9  ,      11
14740.3  ,      15
14764.7  ,       7
14789.1  ,      10
14813.5  ,       8
14837.9  ,      17
14862.3  ,      10
14886.7  ,      19
14911.2  ,      12
14935.6  ,       9
14960.0  ,      13
14984.4  ,      13
15008.8  ,      14
15033.2  ,      10
15057.6  ,      13
15082.0  ,      16
15106.5  ,       8
15130.9  ,      13
15155.3  ,      13
15179.7  ,      19
15204.1  ,      15
15228.5  ,      15
15252.9  ,      20
15277.3  ,      18
15301.8  ,      16
15326.2  ,      16
15350.6  ,      20
15375.0  ,      20
15399.4  ,      24
15423.8  ,      25
15448.2  ,      25
15472.6  ,      26
15497.1  ,      39
15521.5  ,      51
15545.9  ,      75
15570.3  ,      90
15594.7  ,     133
15619.1  ,     129
15643.5  ,     175
15667.9  ,     209
15692.4  ,     263
15716.8  ,     264
15741.2  ,     306
15765.6  ,     304
15790.0  ,     283
15814.4  ,     250
15838.8  ,     187
15863.2  ,     164
15887.7  ,     151
15912.1  ,     111
15936.5  ,      86
15960.9  ,      62
15985.3  ,      47
16009.7  ,      33
16034.1  ,      45
16058.5  ,      48
16083.0  ,      42
16107.4  ,      42
16131.8  ,      41
16156.2  ,      45
16180.6  ,      41
16205.0  ,      45
16229.4  ,      37
16253.8  ,      47
16278.3  ,      51
16302.7  ,      44
16327.1  ,      49
16351.5  ,      49
16375.9  ,      49
16400.3  ,      45
16424.7  ,      48
16449.1  ,      51
16473.6  ,      37
16498.0  ,      32
16522.4  ,      39
16546.8  ,      47
16571.2  ,      41
16595.6  ,      42
16620.0  ,      41
16644.4  ,      49
16668.9  ,      51
16693.3  ,      45
16717.7  ,      63
16742.1  ,      60
16766.5  ,      67
16790.9  ,      65
16815.3  ,      76
16839.7  ,      70
16864.2  ,      72
16888.6  ,      87
16913.0  ,      94
16937.4  ,      77
16961.8  ,      93
16986.2  ,      99
17010.6  ,     100
17035.0  ,      92
17059.5  ,     120
17083.9  ,      96
17108.3  ,     109
17132.7  ,     104
17157.1  ,     118
17181.5  ,      98
17205.9  ,     133
17230.3  ,      99
17254.8  ,     122
17279.2  ,      89
17303.6  ,     105
17328.0  ,      90
17352.4  ,      90
17376.8  ,      78
17401.2  ,      72
17425.7  ,      65
17450.1  ,      60
17474.5  ,      69
17498.9  ,      64
17523.3  ,      71
17547.7  ,      38
17572.1  ,      59
17596.5  ,      65
17621.0  ,      64
17645.4  ,      58
17669.8  ,      66
17694.2  ,      75
17718.6  ,      68
17743.0  ,      38
17767.4  ,      47
17791.8  ,      39
17816.3  ,      31
17840.7  ,      35
17865.1  ,      42
17889.5  ,      33
17913.9  ,      26
17938.3  ,      15
17962.7  ,      28
17987.1  ,      21
18011.6  ,      20
18036.0  ,      23
18060.4  ,      32
18084.8  ,      28
18109.2  ,      22
18133.6  ,      42
18158.0  ,      58
18182.4  ,      55
18206.9  ,      89
18231.3  ,      86
18255.7  ,     111
18280.1  ,      86
18304.5  ,      83
18328.9  ,      98
18353.3  ,     100
18377.7  ,      64
18402.2  ,      72
18426.6  ,      54
18451.0  ,      41
18475.4  ,      30
18499.8  ,      25
18524.2  ,      28
18548.6  ,      13
18573.0  ,       8
18597.5  ,       8
18621.9  ,       7
18646.3  ,       6
18670.7  ,       9
18695.1  ,       8
18719.5  ,       7
18743.9  ,       9
18768.3  ,      10
18792.8  ,       8
18817.2  ,       7
18841.6  ,      10
18866.0  ,       5
18890.4  ,       7
18914.8  ,      17
18939.2  ,      12
18963.6  ,      13
18988.1  ,       7
19012.5  ,      10
19036.9  ,      11
19061.3  ,       5
19085.7  ,      10
19110.1  ,      11
19134.5  ,       6
19158.9  ,      10
19183.4  ,      10
19207.8  ,       7
19232.2  ,      14
19256.6  ,       7
19281.0  ,      15
19305.4  ,      16
19329.8  ,      16
19354.2  ,       7
19378.7  ,      20
19403.1  ,      14
19427.5  ,      19
19451.9  ,      21
19476.3  ,      17
19500.7  ,      26
19525.1  ,      18
19549.5  ,      32
19574.0  ,      33
19598.4  ,      21
19622.8  ,      16
19647.2  ,      33
19671.6  ,      30
19696.0  ,      30
19720.4  ,      22
19744.8  ,      21
19769.3  ,      22
19793.7  ,      26
19818.1  ,      29
19842.5  ,      28
19866.9  ,      38
19891.3  ,      28
19915.7  ,      29
19940.1  ,      28
19964.6  ,      18
19989.0  ,      30
20013.4  ,      19
20037.8  ,      16
20062.2  ,      27
20086.6  ,      17
20111.0  ,      25
20135.5  ,      20
20159.9  ,      17
20184.3  ,      22
20208.7  ,      18
20233.1  ,      17
20257.5  ,      18
20281.9  ,      16
20306.3  ,      16
20330.8  ,      19
20355.2  ,      19
20379.6  ,      14
20404.0  ,      14
20428.4  ,      13
20452.8  ,      13
20477.2  ,      21
20501.6  ,      13
20526.1  ,      11
20550.5  ,      18
20574.9  ,      13
20599.3  ,      17
20623.7  ,      10
20648.1  ,      12
20672.5  ,       9
20696.9  ,      13
20721.4  ,      12
20745.8  ,      13
20770.2  ,       6
20794.6  ,      15
20819.0  ,       9
20843.4  ,      10
20867.8  ,      10
20892.2  ,       9
20916.7  ,       9
20941.1  ,       7
20965.5  ,      10
20989.9  ,       4
21014.3  ,       9
21038.7  ,       5
21063.1  ,       4
21087.5  ,       3
21112.0  ,       9
21136.4  ,       3
21160.8  ,      11
21185.2  ,      12
21209.6  ,      10
21234.0  ,      10
21258.4  ,       5
21282.8  ,      15
21307.3  ,      14
21331.7  ,      21
21356.1  ,      14
21380.5  ,      18
21404.9  ,      26
21429.3  ,      21
21453.7  ,      17
21478.1  ,      19
21502.6  ,      20
21527.0  ,      20
21551.4  ,      12
21575.8  ,      11
21600.2  ,      15
21624.6  ,       9
21649.0  ,       6
21673.4  ,       5
21697.9  ,       9
21722.3  ,       9
21746.7  ,       4
21771.1  ,       3
21795.5  ,       4
21819.9  ,       6
21844.3  ,       6
21868.7  ,       8
21893.2  ,       4
21917.6  ,       5
21942.0  ,       6
21966.4  ,       4
21990.8  ,       3
22015.2  ,       6
22039.6  ,       2
22064.0  ,       9
22088.5  ,       2
22112.9  ,       8
22137.3  ,       6
22161.7  ,       7
22186.1  ,      10
22210.5  ,       5
22234.9  ,       6
22259.3  ,       2
22283.8  ,       9
22308.2  ,       3
22332.6  ,       1
22357.0  ,       8
22381.4  ,       7
22405.8  ,       3
22430.2  ,       4
22454.6  ,       2
22479.1  ,       3
22503.5  ,       3
22527.9  ,       6
22552.3  ,       5
22576.7  ,       5
22601.1  ,       2
22625.5  ,       4
22649.9  ,       4
22674.4  ,       4
22698.8  ,       5
22723.2  ,       4
22747.6  ,       6
22772.0  ,       5
22796.4  ,       6
22820.8  ,       6
22845.2  ,       4
22869.7  ,       5
22894.1  ,       4
22918.5  ,       3
22942.9  ,       6
22967.3  ,       8
22991.7  ,       3
23016.1  ,       7
23040.6  ,       4
23065.0  ,       3
23089.4  ,       4
23113.8  ,       3
23138.2  ,       3
23162.6  ,       3
23187.0  ,       1
23211.4  ,       4
23235.9  ,       3
23260.3  ,       2
23284.7  ,       3
23309.1  ,       2
23333.5  ,       9
23357.9  ,       3
23382.3  ,       2
23406.7  ,       3
23431.2  ,       3
23455.6  ,       2
23480.0  ,       4
23504.4  ,       4
23528.8  ,       3
23553.2  ,       3
23577.6  ,       7
23602.0  ,       3
23626.5  ,       7
23650.9  ,       6
23675.3  ,       2
23699.7  ,       3
23724.1  ,       2
23748.5  ,       5
23772.9  ,       2
23797.3  ,       1
23821.8  ,       4
23846.2  ,      10
23870.6  ,       4
23895.0  ,       2
23919.4  ,       2
23943.8  ,       3
23968.2  ,       1
23992.6  ,       0
24017.1  ,       4
24041.5  ,       6
24065.9  ,       3
24090.3  ,       5
24114.7  ,       2
24139.1  ,       4
24163.5  ,       3
24187.9  ,       5
24212.4  ,       2
24236.8  ,       4
24261.2  ,       7
24285.6  ,       2
24310.0  ,       7
24334.4  ,       4
24358.8  ,       4
24383.2  ,       6
24407.7  ,       6
24432.1  ,       3
24456.5  ,       2
24480.9  ,       3
24505.3  ,       3
24529.7  ,       3
24554.1  ,       6
24578.5  ,       5
24603.0  ,       4
24627.4  ,       4
24651.8  ,       6
24676.2  ,       6
24700.6  ,       3
24725.0  ,       1
24749.4  ,       3
24773.8  ,       2
24798.3  ,       1
24822.7  ,       5
24847.1  ,       6
24871.5  ,       4
24895.9  ,       5
24920.3  ,       4
24944.7  ,       0
24969.1  ,       5
24993.6  ,       4
25018.0  ,       7
25042.4  ,       3
25066.8  ,       7
25091.2  ,       1
25115.6  ,       3
25140.0  ,       5
25164.4  ,      11
25188.9  ,       9
25213.3  ,       8
