"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.26    ,  0.13  
MgO     ,  6.49    ,  0.17  
Al2O3   ,  8.21    ,  0.19  
SiO2    , 42.49    ,  0.43  
P2O5    ,  0.59    ,  0.05  
SO3     ,  5.63    ,  0.07  
Cl      ,  0.47    ,  0.02  
K2O     ,  0.63    ,  0.02  
CaO     ,  8.02    ,  0.08  
TiO2    ,  1.38    ,  0.05  
Cr2O3   ,  0.39    ,  0.01  
MnO     ,  0.35    ,  0.01  
FeO     , 22.77    ,  0.26  
Ni      ,  0.0522  ,  0.0030
Zn      ,  0.0675  ,  0.0025
Br      ,  0.0039  ,  0.0005
