"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.70    ,  0.27  
MgO     ,  6.78    ,  0.41  
Al2O3   ,  8.58    ,  0.47  
SiO2    , 42.68    ,  0.86  
P2O5    ,  0.25    ,  0.14  
SO3     ,  6.09    ,  0.32  
Cl      ,  0.63    ,  0.06  
K2O     ,  0.69    ,  0.06  
CaO     ,  8.15    ,  0.42  
TiO2    ,  1.32    ,  0.13  
Cr2O3   ,  0.43    ,  0.07  
MnO     ,  0.15    ,  0.05  
FeO     , 21.10    ,  0.45  
Ni      ,  0.0489  ,  0.0080
Zn      ,  0.0678  ,  0.0060
Br      ,  0.0176  ,  0.0020
