"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.32    ,  0.20  
MgO     ,  6.60    ,  0.17  
Al2O3   ,  8.44    ,  0.19  
SiO2    , 43.37    ,  0.53  
P2O5    ,  0.50    ,  0.09  
SO3     ,  5.27    ,  0.20  
Cl      ,  0.50    ,  0.05  
K2O     ,  0.69    ,  0.05  
CaO     ,  7.90    ,  0.14  
TiO2    ,  1.31    ,  0.08  
Cr2O3   ,  0.32    ,  0.04  
MnO     ,  0.31    ,  0.04  
FeO     , 22.15    ,  0.26  
Ni      ,  0.0454  ,  0.0055
Zn      ,  0.0626  ,  0.0040
Br      ,  0.0159  ,  0.0025
