"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.32    ,  0.34  
MgO     ,  6.57    ,  0.41  
Al2O3   ,  8.33    ,  0.66  
SiO2    , 43.99    ,  0.96  
P2O5    ,  0.39    ,  0.14  
SO3     ,  5.86    ,  0.22  
Cl      ,  0.78    ,  0.06  
K2O     ,  0.64    ,  0.05  
CaO     ,  7.30    ,  0.14  
TiO2    ,  1.35    ,  0.08  
Cr2O3   ,  0.39    ,  0.06  
MnO     ,  0.29    ,  0.04  
FeO     , 21.38    ,  0.26  
Ni      ,  0.0532  ,  0.0065
Zn      ,  0.0745  ,  0.0050
Br      ,  0.0205  ,  0.0020
