"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.45    ,  0.13  
MgO     ,  6.81    ,  0.17  
Al2O3   ,  8.38    ,  0.19  
SiO2    , 42.43    ,  0.53  
P2O5    ,  0.68    ,  0.07  
SO3     ,  6.01    ,  0.17  
Cl      ,  0.46    ,  0.04  
K2O     ,  0.62    ,  0.04  
CaO     ,  8.06    ,  0.13  
TiO2    ,  1.28    ,  0.07  
Cr2O3   ,  0.31    ,  0.04  
MnO     ,  0.27    ,  0.03  
FeO     , 21.88    ,  0.26  
Ni      ,  0.0447  ,  0.0045
Zn      ,  0.0664  ,  0.0035
Br      ,  0.0027  ,  0.0010
