"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  1.92    ,  0.20  
MgO     ,  6.50    ,  0.25  
Al2O3   ,  7.82    ,  0.28  
SiO2    , 42.55    ,  0.53  
P2O5    ,  0.63    ,  0.09  
SO3     ,  6.92    ,  0.22  
Cl      ,  0.97    ,  0.06  
K2O     ,  0.62    ,  0.05  
CaO     ,  8.06    ,  0.15  
TiO2    ,  1.38    ,  0.08  
Cr2O3   ,  0.26    ,  0.04  
MnO     ,  0.28    ,  0.04  
FeO     , 21.67    ,  0.26  
Ni      ,  0.0499  ,  0.0060
Zn      ,  0.0601  ,  0.0045
Br      ,  0.0474  ,  0.0025
