"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  1.75    ,  0.20  
MgO     ,  6.42    ,  0.33  
Al2O3   ,  7.41    ,  0.38  
SiO2    , 43.71    ,  0.96  
P2O5    ,  0.18    ,  0.25  
SO3     ,  5.40    ,  0.27  
Cl      ,  1.36    ,  0.08  
K2O     ,  0.46    ,  0.05  
CaO     ,  6.94    ,  0.35  
TiO2    ,  1.33    ,  0.10  
Cr2O3   ,  0.67    ,  0.07  
MnO     ,  0.35    ,  0.05  
FeO     , 23.64    ,  0.51  
Ni      ,  0.0143  ,  0.0060
Zn      ,  0.0676  ,  0.0055
Br      ,  0.0123  ,  0.0040
