"Target: Snake_River, Contains DAT files: APA_410718885ESC01490051902_______M2.DAT"
 7478.5  ,       7
 7502.9  ,      16
 7527.4  ,       8
 7551.8  ,      10
 7576.3  ,       7
 7600.7  ,       6
 7625.2  ,      12
 7649.6  ,       7
 7674.0  ,       5
 7698.5  ,       6
 7722.9  ,       7
 7747.4  ,       6
 7771.8  ,       7
 7796.3  ,       6
 7820.7  ,       7
 7845.1  ,       4
 7869.6  ,      16
 7894.0  ,       4
 7918.5  ,       6
 7942.9  ,       8
 7967.4  ,       6
 7991.8  ,      10
 8016.2  ,      15
 8040.7  ,       7
 8065.1  ,      11
 8089.6  ,      11
 8114.0  ,      10
 8138.4  ,       8
 8162.9  ,      11
 8187.3  ,       7
 8211.8  ,      11
 8236.2  ,       4
 8260.7  ,      12
 8285.1  ,      12
 8309.5  ,      13
 8334.0  ,       8
 8358.4  ,       9
 8382.9  ,      13
 8407.3  ,      11
 8431.8  ,       9
 8456.2  ,      13
 8480.6  ,      15
 8505.1  ,      19
 8529.5  ,      23
 8554.0  ,      25
 8578.4  ,      28
 8602.9  ,      24
 8627.3  ,      34
 8651.7  ,      26
 8676.2  ,      26
 8700.6  ,      23
 8725.1  ,      22
 8749.5  ,      20
 8773.9  ,      13
 8798.4  ,      12
 8822.8  ,       9
 8847.3  ,       4
 8871.7  ,       6
 8896.2  ,      14
 8920.6  ,      12
 8945.0  ,      16
 8969.5  ,       7
 8993.9  ,       6
 9018.4  ,       7
 9042.8  ,      11
 9067.3  ,       9
 9091.7  ,       9
 9116.1  ,       4
 9140.6  ,       5
 9165.0  ,       5
 9189.5  ,       9
 9213.9  ,       9
 9238.4  ,      10
 9262.8  ,      11
 9287.2  ,       5
 9311.7  ,      10
 9336.1  ,       6
 9360.6  ,       3
 9385.0  ,       9
 9409.4  ,       5
 9433.9  ,       9
 9458.3  ,      14
 9482.8  ,      12
 9507.2  ,      11
 9531.7  ,      17
 9556.1  ,      15
 9580.5  ,       5
 9605.0  ,       9
 9629.4  ,       9
 9653.9  ,       8
 9678.3  ,       8
 9702.8  ,       7
 9727.2  ,      11
 9751.6  ,       9
 9776.1  ,      11
 9800.5  ,       9
 9825.0  ,      11
 9849.4  ,      10
 9873.9  ,      14
 9898.3  ,       3
 9922.7  ,       9
 9947.2  ,       5
 9971.6  ,      11
 9996.1  ,       9
10020.5  ,      12
10044.9  ,      11
10069.4  ,       5
10093.8  ,      10
10118.3  ,       5
10142.7  ,      10
10167.2  ,      10
10191.6  ,       6
10216.0  ,       7
10240.5  ,       9
10264.9  ,       9
10289.4  ,      12
10313.8  ,       5
10338.3  ,      13
10362.7  ,       3
10387.1  ,      10
10411.6  ,       9
10436.0  ,       6
10460.5  ,       6
10484.9  ,       5
10509.4  ,       9
10533.8  ,       3
10558.2  ,       4
10582.7  ,       3
10607.1  ,       9
10631.6  ,       5
10656.0  ,      10
10680.4  ,       7
10704.9  ,      15
10729.3  ,       1
10753.8  ,       6
10778.2  ,       7
10802.7  ,       5
10827.1  ,       6
10851.5  ,      11
10876.0  ,       9
10900.4  ,       9
10924.9  ,       6
10949.3  ,       5
10973.8  ,      10
10998.2  ,       5
11022.6  ,       2
11047.1  ,       6
11071.5  ,      10
11096.0  ,       6
11120.4  ,       8
11144.9  ,       7
11169.3  ,       4
11193.7  ,       5
11218.2  ,      11
11242.6  ,       7
11267.1  ,       6
11291.5  ,       3
11316.0  ,       6
11340.4  ,       9
11364.8  ,       9
11389.3  ,      10
11413.7  ,       7
11438.2  ,       6
11462.6  ,      10
11487.0  ,      10
11511.5  ,      11
11535.9  ,      14
11560.4  ,      12
11584.8  ,       6
11609.3  ,       5
11633.7  ,      17
11658.1  ,       7
11682.6  ,      17
11707.0  ,      13
11731.5  ,      12
11755.9  ,      19
11780.4  ,      21
11804.8  ,      10
11829.2  ,      18
11853.7  ,      25
11878.1  ,      15
11902.6  ,      25
11927.0  ,      14
11951.5  ,      20
11975.9  ,      17
12000.3  ,      14
12024.8  ,      13
12049.2  ,      21
12073.7  ,      21
12098.1  ,      18
12122.5  ,       9
12147.0  ,      21
12171.4  ,      12
12195.9  ,      10
12220.3  ,      13
12244.8  ,       8
12269.2  ,      11
12293.6  ,       7
12318.1  ,       8
12342.5  ,       5
12367.0  ,       9
12391.4  ,       8
12415.9  ,      10
12440.3  ,      10
12464.7  ,      11
12489.2  ,      17
12513.6  ,       6
12538.1  ,       9
12562.5  ,      11
12587.0  ,      14
12611.4  ,      17
12635.8  ,       8
12660.3  ,      10
12684.7  ,       9
12709.2  ,      16
12733.6  ,       9
12758.0  ,       7
12782.5  ,      16
12806.9  ,      19
12831.4  ,      15
12855.8  ,       9
12880.3  ,       8
12904.7  ,       6
12929.1  ,      13
12953.6  ,      20
12978.0  ,      21
13002.5  ,      16
13026.9  ,      18
13051.4  ,      26
13075.8  ,      22
13100.2  ,      27
13124.7  ,      23
13149.1  ,      25
13173.6  ,      26
13198.0  ,      38
13222.5  ,      28
13246.9  ,      45
13271.3  ,      54
13295.8  ,      59
13320.2  ,      56
13344.7  ,      51
13369.1  ,      54
13393.5  ,      61
13418.0  ,      58
13442.4  ,      75
13466.9  ,      65
13491.3  ,      58
13515.8  ,      56
13540.2  ,      64
13564.6  ,      67
13589.1  ,      48
13613.5  ,      63
13638.0  ,      58
13662.4  ,      63
13686.9  ,      47
13711.3  ,      51
13735.7  ,      47
13760.2  ,      41
13784.6  ,      32
13809.1  ,      38
13833.5  ,      36
13858.0  ,      25
13882.4  ,      33
13906.8  ,      29
13931.3  ,      20
13955.7  ,      25
13980.2  ,      37
14004.6  ,      44
14029.0  ,      36
14053.5  ,      35
14077.9  ,      46
14102.4  ,      62
14126.8  ,      66
14151.3  ,      42
14175.7  ,      72
14200.1  ,      74
14224.6  ,      78
14249.0  ,      92
14273.5  ,      82
14297.9  ,      89
14322.4  ,      69
14346.8  ,      76
14371.2  ,      52
14395.7  ,      49
14420.1  ,      45
14444.6  ,      33
14469.0  ,      28
14493.5  ,      11
14517.9  ,      14
14542.3  ,      11
14566.8  ,       9
14591.2  ,       9
14615.7  ,       8
14640.1  ,      11
14664.5  ,       7
14689.0  ,      13
14713.4  ,      14
14737.9  ,       4
14762.3  ,      14
14786.8  ,       8
14811.2  ,       9
14835.6  ,      19
14860.1  ,      11
14884.5  ,      13
14909.0  ,      11
14933.4  ,       7
14957.9  ,      11
14982.3  ,       8
15006.7  ,       9
15031.2  ,      11
15055.6  ,      13
15080.1  ,      11
15104.5  ,       8
15129.0  ,      13
15153.4  ,      15
15177.8  ,       8
15202.3  ,      13
15226.7  ,      15
15251.2  ,      13
15275.6  ,      25
15300.0  ,      13
15324.5  ,      21
15348.9  ,      19
15373.4  ,      17
15397.8  ,      21
15422.3  ,      28
15446.7  ,      22
15471.1  ,      40
15495.6  ,      68
15520.0  ,      61
15544.5  ,      90
15568.9  ,      90
15593.4  ,     121
15617.8  ,     142
15642.2  ,     165
15666.7  ,     204
15691.1  ,     245
15715.6  ,     236
15740.0  ,     285
15764.5  ,     264
15788.9  ,     226
15813.3  ,     256
15837.8  ,     224
15862.2  ,     185
15886.7  ,     153
15911.1  ,     113
15935.5  ,      92
15960.0  ,      78
15984.4  ,      77
16008.9  ,      51
16033.3  ,      46
16057.8  ,      30
16082.2  ,      26
16106.6  ,      35
16131.1  ,      25
16155.5  ,      32
16180.0  ,      25
16204.4  ,      31
16228.9  ,      36
16253.3  ,      30
16277.7  ,      36
16302.2  ,      26
16326.6  ,      34
16351.1  ,      26
16375.5  ,      37
16400.0  ,      31
16424.4  ,      45
16448.8  ,      45
16473.3  ,      38
16497.7  ,      39
16522.2  ,      28
16546.6  ,      38
16571.1  ,      33
16595.5  ,      43
16619.9  ,      41
16644.4  ,      36
16668.8  ,      43
16693.3  ,      34
16717.7  ,      43
16742.1  ,      50
16766.6  ,      48
16791.0  ,      48
16815.5  ,      50
16839.9  ,      55
16864.4  ,      73
16888.8  ,      77
16913.2  ,      62
16937.7  ,      69
16962.1  ,      75
16986.6  ,      91
17011.0  ,      80
17035.5  ,      79
17059.9  ,      75
17084.3  ,      75
17108.8  ,      91
17133.2  ,      85
17157.7  ,      87
17182.1  ,      86
17206.6  ,      67
17231.0  ,      71
17255.4  ,      84
17279.9  ,      84
17304.3  ,      80
17328.8  ,      80
17353.2  ,      75
17377.6  ,      68
17402.1  ,      49
17426.5  ,      49
17451.0  ,      53
17475.4  ,      43
17499.9  ,      57
17524.3  ,      54
17548.7  ,      62
17573.2  ,      59
17597.6  ,      55
17622.1  ,      53
17646.5  ,      57
17671.0  ,      66
17695.4  ,      57
17719.8  ,      39
17744.3  ,      48
17768.7  ,      54
17793.2  ,      33
17817.6  ,      29
17842.1  ,      25
17866.5  ,      43
17890.9  ,      31
17915.4  ,      29
17939.8  ,      27
17964.3  ,      26
17988.7  ,      25
18013.1  ,      24
18037.6  ,      35
18062.0  ,      23
18086.5  ,      37
18110.9  ,      32
18135.4  ,      41
18159.8  ,      49
18184.2  ,      49
18208.7  ,      67
18233.1  ,      80
18257.6  ,      76
18282.0  ,      89
18306.5  ,      77
18330.9  ,      84
18355.3  ,      68
18379.8  ,      62
18404.2  ,      54
18428.7  ,      50
18453.1  ,      41
18477.6  ,      21
18502.0  ,      18
18526.4  ,      21
18550.9  ,      14
18575.3  ,      12
18599.8  ,       9
18624.2  ,       9
18648.6  ,       6
18673.1  ,       7
18697.5  ,      10
18722.0  ,       6
18746.4  ,      10
18770.9  ,       4
18795.3  ,      10
18819.7  ,       6
18844.2  ,       5
18868.6  ,       6
18893.1  ,       6
18917.5  ,      10
18942.0  ,      11
18966.4  ,      14
18990.8  ,      14
19015.3  ,      11
19039.7  ,       6
19064.2  ,       9
19088.6  ,      13
19113.1  ,       9
19137.5  ,      16
19161.9  ,       9
19186.4  ,       6
19210.8  ,      11
19235.3  ,      12
19259.7  ,      12
19284.1  ,      12
19308.6  ,       9
19333.0  ,      20
19357.5  ,      12
19381.9  ,      13
19406.4  ,      16
19430.8  ,      16
19455.2  ,       7
19479.7  ,      17
19504.1  ,      12
19528.6  ,      21
19553.0  ,      17
19577.5  ,      26
19601.9  ,      18
19626.3  ,      21
19650.8  ,      23
