"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.33    ,  0.20  
MgO     ,  7.55    ,  0.25  
Al2O3   ,  8.10    ,  0.29  
SiO2    , 41.45    ,  0.75  
P2O5    ,  1.95    ,  0.12  
SO3     , 12.29    ,  0.32  
Cl      ,  1.14    ,  0.07  
K2O     ,  0.70    ,  0.04  
CaO     ,  5.09    ,  0.11  
TiO2    ,  0.99    ,  0.07  
Cr2O3   ,  0.29    ,  0.05  
MnO     ,  0.69    ,  0.04  
FeO     , 17.19    ,  0.20  
Ni      ,  0.0656  ,  0.0065
Zn      ,  0.1206  ,  0.0055
Br      ,  0.0169  ,  0.0020
