"Target: Cliffside_bridge_raster1, Contains DAT files: APB_546750788ESC16810622452_______M1.DAT"
  482.6  ,     968
  507.0  ,       0
  531.4  ,       0
  555.9  ,       0
  580.3  ,       0
  604.7  ,     111
  629.1  ,       1
  653.5  ,      98
  677.9  ,     154
  702.4  ,     121
  726.8  ,     131
  751.2  ,     121
  775.6  ,     116
  800.0  ,     129
  824.4  ,     126
  848.9  ,     132
  873.3  ,     109
  897.7  ,     143
  922.1  ,     156
  946.5  ,     176
  971.0  ,     236
  995.4  ,     382
 1019.8  ,     485
 1044.2  ,     443
 1068.6  ,     378
 1093.0  ,     255
 1117.5  ,     220
 1141.9  ,     272
 1166.3  ,     394
 1190.7  ,     786
 1215.1  ,    1327
 1239.5  ,    1637
 1264.0  ,    1475
 1288.4  ,     953
 1312.8  ,     520
 1337.2  ,     340
 1361.6  ,     314
 1386.1  ,     460
 1410.5  ,     870
 1434.9  ,    1642
 1459.3  ,    2231
 1483.7  ,    2368
 1508.1  ,    1819
 1532.6  ,    1107
 1557.0  ,     642
 1581.4  ,     466
 1605.8  ,     478
 1630.2  ,    1055
 1654.6  ,    2473
 1679.1  ,    5018
 1703.5  ,    8047
 1727.9  ,    9389
 1752.3  ,    8121
 1776.7  ,    5105
 1801.2  ,    2537
 1825.6  ,    1135
 1850.0  ,     550
 1874.4  ,     312
 1898.8  ,     254
 1923.2  ,     207
 1947.7  ,     210
 1972.1  ,     250
 1996.5  ,     306
 2020.9  ,     283
 2045.3  ,     198
 2069.7  ,     166
 2094.2  ,     111
 2118.6  ,     118
 2143.0  ,     103
 2167.4  ,     127
 2191.8  ,     196
 2216.2  ,     390
 2240.7  ,     676
 2265.1  ,    1160
 2289.5  ,    1340
 2313.9  ,    1320
 2338.3  ,     904
 2362.8  ,     548
 2387.2  ,     247
 2411.6  ,     165
 2436.0  ,     120
 2460.4  ,     130
 2484.8  ,     108
 2509.3  ,     124
 2533.7  ,     166
 2558.1  ,     197
 2582.5  ,     259
 2606.9  ,     299
 2631.3  ,     278
 2655.8  ,     201
 2680.2  ,     113
 2704.6  ,      57
 2729.0  ,      53
 2753.4  ,      36
 2777.9  ,      40
 2802.3  ,      55
 2826.7  ,      44
 2851.1  ,      38
 2875.5  ,      40
 2899.9  ,      38
 2924.4  ,      59
 2948.8  ,      55
 2973.2  ,      48
 2997.6  ,      28
 3022.0  ,      29
 3046.4  ,      26
 3070.9  ,      26
 3095.3  ,      12
 3119.7  ,      26
 3144.1  ,      35
 3168.5  ,      33
 3193.0  ,      36
 3217.4  ,      38
 3241.8  ,      64
 3266.2  ,     103
 3290.6  ,     126
 3315.0  ,     117
 3339.5  ,     124
 3363.9  ,      88
 3388.3  ,      61
 3412.7  ,      40
 3437.1  ,      41
 3461.5  ,      31
 3486.0  ,      43
 3510.4  ,      40
 3534.8  ,      84
 3559.2  ,     111
 3583.6  ,     167
 3608.1  ,     269
 3632.5  ,     427
 3656.9  ,     605
 3681.3  ,     587
 3705.7  ,     517
 3730.1  ,     377
 3754.6  ,     214
 3779.0  ,     114
 3803.4  ,      55
 3827.8  ,      30
 3852.2  ,      17
 3876.6  ,      27
 3901.1  ,      23
 3925.5  ,      42
 3949.9  ,      71
 3974.3  ,      85
 3998.7  ,      98
 4023.2  ,      85
 4047.6  ,      77
 4072.0  ,      59
 4096.4  ,      44
 4120.8  ,      31
 4145.2  ,      21
 4169.7  ,      22
 4194.1  ,      13
 4218.5  ,      15
 4242.9  ,      12
 4267.3  ,      15
 4291.7  ,      18
 4316.2  ,      18
 4340.6  ,      27
 4365.0  ,      28
 4389.4  ,      31
 4413.8  ,      48
 4438.3  ,      58
 4462.7  ,      91
 4487.1  ,      96
 4511.5  ,      94
 4535.9  ,      70
 4560.3  ,      46
 4584.8  ,      51
 4609.2  ,      41
 4633.6  ,      43
 4658.0  ,      30
 4682.4  ,      33
 4706.8  ,      20
 4731.3  ,      19
 4755.7  ,      20
 4780.1  ,      20
 4804.5  ,      18
 4828.9  ,      21
 4853.4  ,      12
 4877.8  ,      26
 4902.2  ,      29
 4926.6  ,      15
 4951.0  ,      28
 4975.4  ,      30
 4999.9  ,      23
 5024.3  ,      16
 5048.7  ,      14
 5073.1  ,      15
 5097.5  ,      17
 5121.9  ,      17
 5146.4  ,      21
 5170.8  ,      13
 5195.2  ,      17
 5219.6  ,      22
 5244.0  ,      20
 5268.4  ,      22
 5292.9  ,      29
 5317.3  ,      33
 5341.7  ,      41
 5366.1  ,      42
 5390.5  ,      43
 5415.0  ,      49
 5439.4  ,      34
 5463.8  ,      42
 5488.2  ,      26
 5512.6  ,      25
 5537.0  ,      19
 5561.5  ,      26
 5585.9  ,      19
 5610.3  ,      20
 5634.7  ,      18
 5659.1  ,      20
 5683.5  ,      20
 5708.0  ,      25
 5732.4  ,      32
 5756.8  ,      31
 5781.2  ,      40
 5805.6  ,      69
 5830.1  ,      89
 5854.5  ,     112
 5878.9  ,     123
 5903.3  ,     123
 5927.7  ,      88
 5952.1  ,      68
 5976.6  ,      44
 6001.0  ,      34
 6025.4  ,      38
 6049.8  ,      43
 6074.2  ,      48
 6098.6  ,      58
 6123.1  ,      50
 6147.5  ,      63
 6171.9  ,      84
 6196.3  ,     138
 6220.7  ,     220
 6245.2  ,     470
 6269.6  ,     844
 6294.0  ,    1497
 6318.4  ,    2389
 6342.8  ,    3247
 6367.2  ,    3592
 6391.7  ,    3610
 6416.1  ,    3246
 6440.5  ,    2316
 6464.9  ,    1541
 6489.3  ,     863
 6513.7  ,     401
 6538.2  ,     178
 6562.6  ,      66
 6587.0  ,      40
 6611.4  ,      27
 6635.8  ,      12
 6660.3  ,      27
 6684.7  ,      23
 6709.1  ,      17
 6733.5  ,      20
 6757.9  ,      25
 6782.3  ,      30
 6806.8  ,      30
 6831.2  ,      26
 6855.6  ,      48
 6880.0  ,      71
 6904.4  ,     116
 6928.8  ,     199
 6953.3  ,     270
 6977.7  ,     420
 7002.1  ,     520
 7026.5  ,     554
 7050.9  ,     562
 7075.4  ,     490
 7099.8  ,     380
 7124.2  ,     234
 7148.6  ,     116
 7173.0  ,      61
 7197.4  ,      54
 7221.9  ,      16
 7246.3  ,       6
 7270.7  ,       6
 7295.1  ,       9
 7319.5  ,       6
 7343.9  ,      20
 7368.4  ,      16
 7392.8  ,      21
 7417.2  ,      27
 7441.6  ,      24
 7466.0  ,      26
 7490.5  ,      29
 7514.9  ,      26
 7539.3  ,       8
 7563.7  ,      11
 7588.1  ,      12
 7612.5  ,       5
 7637.0  ,       9
 7661.4  ,       4
 7685.8  ,      11
 7710.2  ,       8
 7734.6  ,      13
 7759.0  ,      11
 7783.5  ,       4
 7807.9  ,       7
 7832.3  ,       7
 7856.7  ,       7
 7881.1  ,       9
 7905.6  ,       7
 7930.0  ,      10
 7954.4  ,       9
 7978.8  ,       4
 8003.2  ,      14
 8027.6  ,       6
 8052.1  ,      10
 8076.5  ,       5
 8100.9  ,       5
 8125.3  ,       5
 8149.7  ,      10
 8174.1  ,       3
 8198.6  ,      10
 8223.0  ,       6
 8247.4  ,      13
 8271.8  ,      10
 8296.2  ,      14
 8320.6  ,      10
 8345.1  ,       9
 8369.5  ,       7
 8393.9  ,       8
 8418.3  ,       6
 8442.7  ,       9
 8467.2  ,      18
 8491.6  ,      24
 8516.0  ,      40
 8540.4  ,      53
 8564.8  ,      60
 8589.2  ,      77
 8613.7  ,      82
 8638.1  ,      68
 8662.5  ,      56
 8686.9  ,      53
 8711.3  ,      27
 8735.7  ,      19
 8760.2  ,      18
 8784.6  ,      12
 8809.0  ,       9
 8833.4  ,       6
 8857.8  ,       4
 8882.3  ,       9
 8906.7  ,      10
 8931.1  ,      11
 8955.5  ,       3
 8979.9  ,       8
 9004.3  ,       4
 9028.8  ,       9
 9053.2  ,       6
 9077.6  ,       5
 9102.0  ,       6
 9126.4  ,       7
 9150.8  ,       8
 9175.3  ,      10
 9199.7  ,       4
 9224.1  ,       7
 9248.5  ,       4
 9272.9  ,       6
 9297.4  ,       7
 9321.8  ,      10
 9346.2  ,       8
 9370.6  ,       7
 9395.0  ,      13
 9419.4  ,      12
 9443.9  ,      11
 9468.3  ,      13
 9492.7  ,      14
 9517.1  ,      10
 9541.5  ,      17
 9565.9  ,      21
 9590.4  ,      14
 9614.8  ,      13
 9639.2  ,      12
 9663.6  ,       9
 9688.0  ,      11
 9712.5  ,       8
 9736.9  ,      15
 9761.3  ,      11
 9785.7  ,       8
 9810.1  ,      10
 9834.5  ,      14
 9859.0  ,      10
 9883.4  ,      12
 9907.8  ,      11
 9932.2  ,       6
 9956.6  ,      10
 9981.0  ,       6
10005.5  ,       8
10029.9  ,       8
10054.3  ,       9
10078.7  ,       5
10103.1  ,       6
10127.6  ,       7
10152.0  ,       4
10176.4  ,       9
10200.8  ,       2
10225.2  ,       6
10249.6  ,       7
10274.1  ,       9
10298.5  ,       3
10322.9  ,       8
10347.3  ,       3
10371.7  ,       4
10396.1  ,       4
10420.6  ,      10
10445.0  ,       4
10469.4  ,      13
10493.8  ,      11
10518.2  ,       7
10542.7  ,       9
10567.1  ,      11
10591.5  ,      11
10615.9  ,       7
10640.3  ,       9
10664.7  ,       6
10689.2  ,       6
10713.6  ,       8
10738.0  ,       7
10762.4  ,       6
10786.8  ,      10
10811.2  ,      10
10835.7  ,       6
10860.1  ,       5
10884.5  ,       9
10908.9  ,       7
10933.3  ,       4
10957.8  ,       7
10982.2  ,      12
11006.6  ,      17
11031.0  ,       9
11055.4  ,       8
11079.8  ,       9
11104.3  ,      10
11128.7  ,       8
11153.1  ,       9
11177.5  ,      11
11201.9  ,      10
11226.3  ,       6
11250.8  ,       7
11275.2  ,      12
11299.6  ,       5
11324.0  ,       9
11348.4  ,       8
11372.8  ,      12
11397.3  ,       7
11421.7  ,       7
11446.1  ,      15
11470.5  ,       7
11494.9  ,      12
11519.4  ,      11
11543.8  ,      12
11568.2  ,      18
11592.6  ,      19
11617.0  ,      10
11641.4  ,       8
11665.9  ,      14
11690.3  ,      12
11714.7  ,      19
11739.1  ,      15
11763.5  ,      18
11787.9  ,      27
11812.4  ,      15
11836.8  ,      31
