"Target: Cliffside_bridge_raster4, Contains DAT files: APB_546754688ESC16810622452_______M1.DAT"
  482.6  ,     968
  507.0  ,       0
  531.4  ,       0
  555.8  ,       0
  580.2  ,       0
  604.6  ,     111
  629.0  ,       0
  653.4  ,     105
  677.8  ,     119
  702.2  ,     151
  726.6  ,     130
  751.1  ,     128
  775.5  ,     133
  799.9  ,     112
  824.3  ,     123
  848.7  ,     132
  873.1  ,     143
  897.5  ,     129
  921.9  ,     141
  946.3  ,     192
  970.7  ,     234
  995.1  ,     363
 1019.5  ,     526
 1043.9  ,     477
 1068.3  ,     338
 1092.7  ,     240
 1117.1  ,     226
 1141.5  ,     267
 1165.9  ,     479
 1190.3  ,     850
 1214.7  ,    1387
 1239.1  ,    1723
 1263.6  ,    1543
 1288.0  ,    1020
 1312.4  ,     526
 1336.8  ,     363
 1361.2  ,     297
 1385.6  ,     529
 1410.0  ,     915
 1434.4  ,    1646
 1458.8  ,    2411
 1483.2  ,    2581
 1507.6  ,    1950
 1532.0  ,    1201
 1556.4  ,     689
 1580.8  ,     498
 1605.2  ,     543
 1629.6  ,    1063
 1654.0  ,    2583
 1678.4  ,    5539
 1702.8  ,    8747
 1727.2  ,   10218
 1751.6  ,    8812
 1776.1  ,    5589
 1800.5  ,    2948
 1824.9  ,    1338
 1849.3  ,     669
 1873.7  ,     404
 1898.1  ,     239
 1922.5  ,     206
 1946.9  ,     215
 1971.3  ,     262
 1995.7  ,     307
 2020.1  ,     275
 2044.5  ,     241
 2068.9  ,     162
 2093.3  ,     118
 2117.7  ,      97
 2142.1  ,      96
 2166.5  ,     122
 2190.9  ,     196
 2215.3  ,     378
 2239.7  ,     644
 2264.2  ,    1144
 2288.6  ,    1301
 2313.0  ,    1251
 2337.4  ,     836
 2361.8  ,     543
 2386.2  ,     304
 2410.6  ,     131
 2435.0  ,     130
 2459.4  ,     103
 2483.8  ,     119
 2508.2  ,     132
 2532.6  ,     103
 2557.0  ,     145
 2581.4  ,     177
 2605.8  ,     214
 2630.2  ,     196
 2654.6  ,     164
 2679.0  ,      88
 2703.4  ,      55
 2727.8  ,      32
 2752.2  ,      35
 2776.7  ,      32
 2801.1  ,      27
 2825.5  ,      54
 2849.9  ,      46
 2874.3  ,      52
 2898.7  ,      37
 2923.1  ,      43
 2947.5  ,      54
 2971.9  ,      40
 2996.3  ,      40
 3020.7  ,      28
 3045.1  ,      35
 3069.5  ,      20
 3093.9  ,      14
 3118.3  ,      29
 3142.7  ,      22
 3167.1  ,      18
 3191.5  ,      28
 3215.9  ,      40
 3240.3  ,      70
 3264.7  ,      90
 3289.2  ,     102
 3313.6  ,     133
 3338.0  ,     110
 3362.4  ,      92
 3386.8  ,      48
 3411.2  ,      50
 3435.6  ,      37
 3460.0  ,      43
 3484.4  ,      46
 3508.8  ,      56
 3533.2  ,      66
 3557.6  ,      93
 3582.0  ,     166
 3606.4  ,     274
 3630.8  ,     427
 3655.2  ,     549
 3679.6  ,     576
 3704.0  ,     531
 3728.4  ,     368
 3752.8  ,     228
 3777.2  ,     129
 3801.7  ,      62
 3826.1  ,      25
 3850.5  ,      24
 3874.9  ,      32
 3899.3  ,      33
 3923.7  ,      44
 3948.1  ,      69
 3972.5  ,      81
 3996.9  ,      81
 4021.3  ,      82
 4045.7  ,      67
 4070.1  ,      53
 4094.5  ,      49
 4118.9  ,      27
 4143.3  ,      19
 4167.7  ,      27
 4192.1  ,      15
 4216.5  ,      19
 4240.9  ,      20
 4265.3  ,      19
 4289.7  ,      17
 4314.2  ,      21
 4338.6  ,      20
 4363.0  ,      22
 4387.4  ,      38
 4411.8  ,      42
 4436.2  ,      76
 4460.6  ,      98
 4485.0  ,     121
 4509.4  ,     116
 4533.8  ,      93
 4558.2  ,      72
 4582.6  ,      55
 4607.0  ,      43
 4631.4  ,      43
 4655.8  ,      32
 4680.2  ,      27
 4704.6  ,      18
 4729.0  ,      26
 4753.4  ,      27
 4777.8  ,      23
 4802.2  ,      11
 4826.7  ,      16
 4851.1  ,      28
 4875.5  ,      26
 4899.9  ,      20
 4924.3  ,      30
 4948.7  ,      31
 4973.1  ,      27
 4997.5  ,      25
 5021.9  ,      23
 5046.3  ,      11
 5070.7  ,      25
 5095.1  ,      25
 5119.5  ,      15
 5143.9  ,      16
 5168.3  ,      15
 5192.7  ,      15
 5217.1  ,      18
 5241.5  ,      28
 5265.9  ,      23
 5290.3  ,      36
 5314.8  ,      44
 5339.2  ,      49
 5363.6  ,      44
 5388.0  ,      51
 5412.4  ,      44
 5436.8  ,      57
 5461.2  ,      42
 5485.6  ,      34
 5510.0  ,      23
 5534.4  ,      26
 5558.8  ,      19
 5583.2  ,      21
 5607.6  ,      22
 5632.0  ,      28
 5656.4  ,      26
 5680.8  ,      32
 5705.2  ,      27
 5729.6  ,      43
 5754.0  ,      41
 5778.4  ,      50
 5802.8  ,     101
 5827.3  ,     103
 5851.7  ,     123
 5876.1  ,     145
 5900.5  ,     122
 5924.9  ,     107
 5949.3  ,      88
 5973.7  ,      68
 5998.1  ,      58
 6022.5  ,      48
 6046.9  ,      32
 6071.3  ,      44
 6095.7  ,      56
 6120.1  ,      59
 6144.5  ,      58
 6168.9  ,      71
 6193.3  ,     135
 6217.7  ,     240
 6242.1  ,     471
 6266.5  ,     885
 6290.9  ,    1514
 6315.3  ,    2492
 6339.8  ,    3344
 6364.2  ,    4010
 6388.6  ,    4132
 6413.0  ,    3576
 6437.4  ,    2694
 6461.8  ,    1729
 6486.2  ,     999
 6510.6  ,     519
 6535.0  ,     224
 6559.4  ,      92
 6583.8  ,      48
 6608.2  ,      26
 6632.6  ,      16
 6657.0  ,      30
 6681.4  ,      17
 6705.8  ,      16
 6730.2  ,      24
 6754.6  ,      21
 6779.0  ,      23
 6803.4  ,      25
 6827.8  ,      34
 6852.3  ,      48
 6876.7  ,      74
 6901.1  ,     135
 6925.5  ,     192
 6949.9  ,     307
 6974.3  ,     443
 6998.7  ,     571
 7023.1  ,     609
 7047.5  ,     646
 7071.9  ,     557
 7096.3  ,     429
 7120.7  ,     291
 7145.1  ,     199
 7169.5  ,     106
 7193.9  ,      33
 7218.3  ,      15
 7242.7  ,      13
 7267.1  ,       9
 7291.5  ,       9
 7315.9  ,       8
 7340.3  ,      11
 7364.8  ,      18
 7389.2  ,      28
 7413.6  ,      26
 7438.0  ,      26
 7462.4  ,      25
 7486.8  ,      28
 7511.2  ,      26
 7535.6  ,      22
 7560.0  ,      11
 7584.4  ,       5
 7608.8  ,      11
 7633.2  ,      13
 7657.6  ,      14
 7682.0  ,       5
 7706.4  ,       4
 7730.8  ,       6
 7755.2  ,      10
 7779.6  ,       5
 7804.0  ,       9
 7828.4  ,       9
 7852.8  ,       5
 7877.3  ,      12
 7901.7  ,      15
 7926.1  ,       7
 7950.5  ,       7
 7974.9  ,       5
 7999.3  ,       5
 8023.7  ,      10
 8048.1  ,      13
 8072.5  ,       7
 8096.9  ,      11
 8121.3  ,       5
 8145.7  ,       6
 8170.1  ,       7
 8194.5  ,       7
 8218.9  ,      12
 8243.3  ,       6
 8267.7  ,      11
 8292.1  ,       9
 8316.5  ,      10
 8340.9  ,      10
 8365.4  ,      11
 8389.8  ,      11
 8414.2  ,      10
 8438.6  ,      15
 8463.0  ,      15
 8487.4  ,      20
 8511.8  ,      37
 8536.2  ,      46
 8560.6  ,      65
 8585.0  ,      77
 8609.4  ,      86
 8633.8  ,      79
 8658.2  ,      63
 8682.6  ,      58
 8707.0  ,      40
 8731.4  ,      21
 8755.8  ,      21
 8780.2  ,      15
 8804.6  ,       7
 8829.0  ,      12
 8853.4  ,       7
 8877.9  ,       4
 8902.3  ,      10
 8926.7  ,       7
 8951.1  ,      11
 8975.5  ,       1
 8999.9  ,      16
 9024.3  ,       9
 9048.7  ,      10
 9073.1  ,       8
 9097.5  ,       7
 9121.9  ,      11
 9146.3  ,       4
 9170.7  ,       9
 9195.1  ,       6
 9219.5  ,       7
 9243.9  ,      14
 9268.3  ,       8
 9292.7  ,      12
 9317.1  ,       6
 9341.5  ,       6
 9365.9  ,      12
 9390.4  ,       5
 9414.8  ,       3
 9439.2  ,      14
 9463.6  ,      11
 9488.0  ,      15
 9512.4  ,       7
 9536.8  ,      24
 9561.2  ,      18
 9585.6  ,      14
 9610.0  ,      20
 9634.4  ,      21
 9658.8  ,      15
 9683.2  ,       9
 9707.6  ,       8
 9732.0  ,       6
 9756.4  ,      12
 9780.8  ,      13
 9805.2  ,       9
 9829.6  ,      12
 9854.0  ,      14
 9878.4  ,      19
 9902.9  ,      14
 9927.3  ,      11
 9951.7  ,      11
 9976.1  ,      11
10000.5  ,      13
10024.9  ,       9
10049.3  ,      10
10073.7  ,       5
10098.1  ,       7
10122.5  ,       4
10146.9  ,       6
10171.3  ,       4
10195.7  ,       6
10220.1  ,       6
10244.5  ,       6
10268.9  ,       8
10293.3  ,      11
10317.7  ,       6
10342.1  ,      12
10366.5  ,       7
10390.9  ,       5
10415.4  ,      11
10439.8  ,      10
10464.2  ,      10
10488.6  ,      12
10513.0  ,      11
10537.4  ,      14
10561.8  ,      14
10586.2  ,       9
10610.6  ,      14
10635.0  ,       6
10659.4  ,       9
10683.8  ,       6
10708.2  ,       8
10732.6  ,       6
10757.0  ,       8
10781.4  ,       5
10805.8  ,      12
10830.2  ,      11
10854.6  ,       6
10879.0  ,      11
10903.4  ,       9
10927.9  ,       7
10952.3  ,       6
10976.7  ,       6
11001.1  ,       9
11025.5  ,       8
11049.9  ,       9
11074.3  ,       6
11098.7  ,      10
11123.1  ,      10
11147.5  ,       9
11171.9  ,      14
11196.3  ,       7
11220.7  ,       5
11245.1  ,      13
11269.5  ,       8
11293.9  ,       9
11318.3  ,       7
11342.7  ,      11
11367.1  ,       9
11391.5  ,       6
11416.0  ,      16
11440.4  ,      11
11464.8  ,      15
11489.2  ,      12
11513.6  ,      13
11538.0  ,      15
11562.4  ,       9
11586.8  ,      10
11611.2  ,      16
11635.6  ,      10
11660.0  ,      17
11684.4  ,      10
11708.8  ,      13
11733.2  ,      17
11757.6  ,      27
11782.0  ,      23
11806.4  ,      37
11830.8  ,      29
