"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.19    ,  0.20  
MgO     ,  6.94    ,  0.25  
Al2O3   ,  7.87    ,  0.29  
SiO2    , 40.40    ,  0.75  
P2O5    ,  2.02    ,  0.12  
SO3     , 13.87    ,  0.35  
Cl      ,  0.92    ,  0.06  
K2O     ,  0.63    ,  0.04  
CaO     ,  6.84    ,  0.14  
TiO2    ,  0.85    ,  0.07  
Cr2O3   ,  0.28    ,  0.05  
MnO     ,  0.75    ,  0.04  
FeO     , 16.17    ,  0.20  
Ni      ,  0.0558  ,  0.0065
Zn      ,  0.1025  ,  0.0055
Br      ,  0.0185  ,  0.0020
