"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.32    ,  0.14  
MgO     ,  5.56    ,  0.17  
Al2O3   ,  9.12    ,  0.19  
SiO2    , 48.96    ,  0.54  
P2O5    ,  0.81    ,  0.05  
SO3     ,  8.98    ,  0.15  
Cl      ,  1.15    ,  0.03  
K2O     ,  0.71    ,  0.02  
CaO     ,  5.82    ,  0.07  
TiO2    ,  1.11    ,  0.03  
Cr2O3   ,  0.34    ,  0.03  
MnO     ,  0.16    ,  0.01  
FeO     , 14.65    ,  0.20  
Ni      ,  0.0954  ,  0.0050
Zn      ,  0.1155  ,  0.0035
Br      ,  0.0310  ,  0.0010
