"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.46    ,  0.20  
MgO     ,  7.11    ,  0.25  
Al2O3   ,  8.33    ,  0.29  
SiO2    , 44.34    ,  0.64  
P2O5    ,  0.97    ,  0.07  
SO3     ,  8.66    ,  0.22  
Cl      ,  1.21    ,  0.06  
K2O     ,  0.79    ,  0.04  
CaO     ,  6.00    ,  0.11  
TiO2    ,  1.03    ,  0.09  
Cr2O3   ,  0.29    ,  0.05  
MnO     ,  0.14    ,  0.03  
FeO     , 18.20    ,  0.20  
Ni      ,  0.0820  ,  0.0065
Zn      ,  0.0874  ,  0.0045
Br      ,  0.0428  ,  0.0020
