"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.72    ,  0.41  
MgO     ,  8.11    ,  1.67  
Al2O3   ,  7.16    ,  0.29  
SiO2    , 38.26    ,  0.43  
P2O5    ,  0.89    ,  0.19  
SO3     , 16.95    ,  0.28  
Cl      ,  0.98    ,  0.05  
K2O     ,  0.80    ,  0.17  
CaO     ,  6.02    ,  0.10  
TiO2    ,  0.87    ,  0.19  
Cr2O3   ,  0.25    ,  0.03  
MnO     ,  0.26    ,  0.03  
FeO     , 17.31    ,  0.20  
Ni      ,  0.0954  ,  0.0070
Zn      ,  0.0836  ,  0.0040
Br      ,  0.0097  ,  0.0010
