"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.49    ,  0.14  
MgO     , 10.13    ,  0.25  
Al2O3   ,  8.86    ,  0.19  
SiO2    , 43.90    ,  0.54  
P2O5    ,  0.76    ,  0.05  
SO3     ,  3.08    ,  0.05  
Cl      ,  0.48    ,  0.02  
K2O     ,  0.38    ,  0.01  
CaO     ,  7.24    ,  0.08  
TiO2    ,  1.05    ,  0.03  
Cr2O3   ,  0.64    ,  0.01  
MnO     ,  0.43    ,  0.01  
FeO     , 20.45    ,  0.26  
Ni      ,  0.0448  ,  0.0025
Zn      ,  0.0215  ,  0.0010
Br      ,  0.0026  ,  0.0005
