"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.57    ,  0.20  
MgO     ,  7.58    ,  0.17  
Al2O3   ,  8.36    ,  0.19  
SiO2    , 45.01    ,  0.54  
P2O5    ,  1.06    ,  0.07  
SO3     ,  9.56    ,  0.17  
Cl      ,  1.46    ,  0.05  
K2O     ,  0.92    ,  0.04  
CaO     ,  3.55    ,  0.06  
TiO2    ,  1.01    ,  0.03  
Cr2O3   ,  0.25    ,  0.03  
MnO     ,  0.18    ,  0.03  
FeO     , 18.14    ,  0.20  
Ni      ,  0.0832  ,  0.0045
Zn      ,  0.1266  ,  0.0040
Br      ,  0.0560  ,  0.0020
