"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.82    ,  0.14  
MgO     ,  5.68    ,  0.17  
Al2O3   ,  8.49    ,  0.19  
SiO2    , 45.00    ,  0.54  
P2O5    ,  0.80    ,  0.05  
SO3     ,  9.21    ,  0.10  
Cl      ,  1.84    ,  0.03  
K2O     ,  0.94    ,  0.04  
CaO     ,  6.09    ,  0.07  
TiO2    ,  1.00    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.38    ,  0.01  
FeO     , 17.18    ,  0.20  
Ni      ,  0.0739  ,  0.0040
Zn      ,  0.0972  ,  0.0030
Br      ,  0.0080  ,  0.0005
