"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.64    ,  0.14  
MgO     ,  5.05    ,  0.17  
Al2O3   ,  9.80    ,  0.29  
SiO2    , 51.08    ,  0.54  
P2O5    ,  0.87    ,  0.05  
SO3     ,  4.94    ,  0.08  
Cl      ,  0.74    ,  0.02  
K2O     ,  1.03    ,  0.04  
CaO     ,  3.87    ,  0.04  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.27    ,  0.01  
FeO     , 18.10    ,  0.20  
Ni      ,  0.0921  ,  0.0050
Zn      ,  0.0952  ,  0.0030
Br      ,  0.0056  ,  0.0005
