"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.52    ,  0.20  
MgO     ,  6.26    ,  0.25  
Al2O3   ,  8.97    ,  0.29  
SiO2    , 45.18    ,  0.64  
P2O5    ,  0.96    ,  0.07  
SO3     ,  8.49    ,  0.22  
Cl      ,  0.70    ,  0.05  
K2O     ,  0.73    ,  0.04  
CaO     ,  7.18    ,  0.11  
TiO2    ,  1.00    ,  0.05  
Cr2O3   ,  0.36    ,  0.05  
MnO     ,  0.31    ,  0.03  
FeO     , 17.12    ,  0.20  
Ni      ,  0.0711  ,  0.0060
Zn      ,  0.0694  ,  0.0040
Br      ,  0.0061  ,  0.0010
