"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.30    ,  0.14  
MgO     ,  2.76    ,  0.08  
Al2O3   ,  7.80    ,  0.19  
SiO2    , 41.87    ,  0.54  
P2O5    ,  1.11    ,  0.07  
SO3     , 10.25    ,  0.17  
Cl      ,  0.93    ,  0.03  
K2O     ,  0.96    ,  0.04  
CaO     ,  7.72    ,  0.08  
TiO2    ,  1.06    ,  0.03  
Cr2O3   ,  0.34    ,  0.03  
MnO     ,  0.26    ,  0.03  
FeO     , 22.33    ,  0.26  
Ni      ,  0.0927  ,  0.0050
Zn      ,  0.1327  ,  0.0040
Br      ,  0.0023  ,  0.0005
