"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.81    ,  0.07  
MgO     ,  4.63    ,  0.17  
Al2O3   ,  7.30    ,  0.19  
SiO2    , 38.64    ,  0.43  
P2O5    ,  0.69    ,  0.05  
SO3     , 13.17    ,  0.15  
Cl      ,  0.71    ,  0.02  
K2O     ,  1.04    ,  0.04  
CaO     ,  9.66    ,  0.10  
TiO2    ,  1.14    ,  0.05  
Cr2O3   ,  0.36    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 20.16    ,  0.26  
Ni      ,  0.1006  ,  0.0055
Zn      ,  0.2372  ,  0.0075
Br      ,  0.0082  ,  0.0005
