"Target: Mojave2_presieve_dump, Contains DAT files: APB_476380933ESC08890450000_______M1.DAT"
 7179.2  ,    1381
 7203.7  ,     663
 7228.1  ,     329
 7252.5  ,     240
 7277.0  ,     199
 7301.4  ,     208
 7325.9  ,     247
 7350.3  ,     347
 7374.7  ,     464
 7399.2  ,     676
 7423.6  ,     739
 7448.1  ,     818
 7472.5  ,     796
 7496.9  ,     705
 7521.4  ,     505
 7545.8  ,     405
 7570.3  ,     290
 7594.7  ,     208
 7619.1  ,     156
 7643.6  ,     131
 7668.0  ,     145
 7692.4  ,     134
 7716.9  ,     110
 7741.3  ,     123
 7765.8  ,     142
 7790.2  ,     136
 7814.6  ,     150
 7839.1  ,     150
 7863.5  ,     125
 7888.0  ,     151
 7912.4  ,     156
 7936.8  ,     154
 7961.3  ,     193
 7985.7  ,     176
 8010.2  ,     206
 8034.6  ,     199
 8059.0  ,     202
 8083.5  ,     161
 8107.9  ,     183
 8132.4  ,     161
 8156.8  ,     187
 8181.2  ,     191
 8205.7  ,     225
 8230.1  ,     236
 8254.6  ,     230
 8279.0  ,     228
 8303.4  ,     209
 8327.9  ,     213
 8352.3  ,     190
 8376.8  ,     210
 8401.2  ,     203
 8425.6  ,     274
 8450.1  ,     397
 8474.5  ,     588
 8499.0  ,     895
 8523.4  ,    1320
 8547.8  ,    1918
 8572.3  ,    2413
 8596.7  ,    2735
 8621.2  ,    2720
 8645.6  ,    2562
 8670.0  ,    2044
 8694.5  ,    1503
 8718.9  ,     964
 8743.3  ,     620
 8767.8  ,     371
 8792.2  ,     249
 8816.7  ,     158
 8841.1  ,     140
 8865.5  ,     127
 8890.0  ,     138
 8914.4  ,     133
 8938.9  ,     127
 8963.3  ,     122
 8987.7  ,     150
 9012.2  ,     136
 9036.6  ,     139
 9061.1  ,     124
 9085.5  ,     128
 9109.9  ,     144
 9134.4  ,     150
 9158.8  ,     166
 9183.3  ,     179
 9207.7  ,     183
 9232.1  ,     160
 9256.6  ,     168
 9281.0  ,     186
 9305.5  ,     175
 9329.9  ,     159
 9354.3  ,     153
 9378.8  ,     186
 9403.2  ,     222
 9427.7  ,     246
 9452.1  ,     303
 9476.5  ,     339
 9501.0  ,     460
 9525.4  ,     529
 9549.9  ,     548
 9574.3  ,     530
 9598.7  ,     514
 9623.2  ,     425
 9647.6  ,     319
 9672.0  ,     224
 9696.5  ,     194
 9720.9  ,     211
 9745.4  ,     195
 9769.8  ,     226
 9794.2  ,     269
 9818.7  ,     327
 9843.1  ,     336
 9867.6  ,     347
 9892.0  ,     335
 9916.4  ,     261
 9940.9  ,     245
 9965.3  ,     183
 9989.8  ,     150
10014.2  ,     148
10038.6  ,     121
10063.1  ,     129
10087.5  ,     106
10112.0  ,     104
10136.4  ,     129
10160.8  ,     131
10185.3  ,     123
10209.7  ,     113
10234.2  ,     115
10258.6  ,     133
10283.0  ,     143
10307.5  ,     143
10331.9  ,     154
10356.4  ,     192
10380.8  ,     163
10405.2  ,     203
10429.7  ,     255
10454.1  ,     282
10478.6  ,     390
10503.0  ,     412
10527.4  ,     406
10551.9  ,     402
10576.3  ,     366
10600.7  ,     305
10625.2  ,     227
10649.6  ,     220
10674.1  ,     188
10698.5  ,     141
10722.9  ,     140
10747.4  ,     139
10771.8  ,     131
10796.3  ,     134
10820.7  ,     132
10845.1  ,     135
10869.6  ,     130
10894.0  ,     139
10918.5  ,     153
10942.9  ,     150
10967.3  ,     169
10991.8  ,     184
11016.2  ,     166
11040.7  ,     159
11065.1  ,     174
11089.5  ,     203
11114.0  ,     221
11138.4  ,     267
11162.9  ,     286
11187.3  ,     266
11211.7  ,     284
11236.2  ,     245
11260.6  ,     243
11285.1  ,     214
11309.5  ,     241
11333.9  ,     177
11358.4  ,     186
11382.8  ,     190
11407.3  ,     204
11431.7  ,     205
11456.1  ,     211
11480.6  ,     207
11505.0  ,     207
11529.5  ,     241
11553.9  ,     216
11578.3  ,     240
11602.8  ,     235
11627.2  ,     242
11651.6  ,     224
11676.1  ,     219
11700.5  ,     229
11725.0  ,     222
11749.4  ,     240
11773.8  ,     245
11798.3  ,     282
11822.7  ,     276
11847.2  ,     325
11871.6  ,     329
11896.0  ,     333
11920.5  ,     358
11944.9  ,     323
11969.4  ,     320
11993.8  ,     330
12018.2  ,     312
12042.7  ,     353
12067.1  ,     365
12091.6  ,     331
12116.0  ,     400
12140.4  ,     340
12164.9  ,     387
12189.3  ,     336
12213.8  ,     296
12238.2  ,     293
12262.6  ,     241
12287.1  ,     238
12311.5  ,     192
12336.0  ,     203
12360.4  ,     212
12384.8  ,     224
12409.3  ,     230
12433.7  ,     255
12458.2  ,     253
12482.6  ,     315
12507.0  ,     317
12531.5  ,     377
12555.9  ,     384
12580.3  ,     455
12604.8  ,     454
12629.2  ,     452
12653.7  ,     425
12678.1  ,     420
12702.5  ,     389
12727.0  ,     339
12751.4  ,     368
12775.9  ,     340
12800.3  ,     343
12824.7  ,     361
12849.2  ,     408
12873.6  ,     388
12898.1  ,     417
12922.5  ,     439
12946.9  ,     470
12971.4  ,     478
12995.8  ,     502
13020.3  ,     529
13044.7  ,     606
13069.1  ,     583
13093.6  ,     678
13118.0  ,     671
13142.5  ,     837
13166.9  ,     908
13191.3  ,     925
13215.8  ,    1007
13240.2  ,    1194
13264.7  ,    1342
13289.1  ,    1413
13313.5  ,    1565
13338.0  ,    1815
13362.4  ,    1806
13386.9  ,    1987
13411.3  ,    2126
13435.7  ,    2232
13460.2  ,    2318
13484.6  ,    2363
13509.0  ,    2466
13533.5  ,    2391
13557.9  ,    2311
13582.4  ,    2243
13606.8  ,    2178
13631.2  ,    2070
13655.7  ,    1969
13680.1  ,    1833
13704.6  ,    1678
13729.0  ,    1575
13753.4  ,    1392
13777.9  ,    1249
13802.3  ,    1110
13826.8  ,    1012
13851.2  ,     955
13875.6  ,     885
13900.1  ,     836
13924.5  ,     840
13949.0  ,     832
13973.4  ,     940
13997.8  ,     961
14022.3  ,    1056
14046.7  ,    1207
14071.2  ,    1403
14095.6  ,    1698
14120.0  ,    1863
14144.5  ,    2177
14168.9  ,    2481
14193.4  ,    2879
14217.8  ,    3232
14242.2  ,    3517
14266.7  ,    3665
14291.1  ,    3512
14315.6  ,    3133
14340.0  ,    2753
14364.4  ,    2140
14388.9  ,    1587
14413.3  ,    1137
14437.7  ,     862
14462.2  ,     542
14486.6  ,     393
14511.1  ,     311
14535.5  ,     222
14559.9  ,     191
14584.4  ,     192
14608.8  ,     189
14633.3  ,     196
14657.7  ,     185
14682.1  ,     211
14706.6  ,     185
14731.0  ,     201
14755.5  ,     226
14779.9  ,     220
14804.3  ,     256
14828.8  ,     237
14853.2  ,     265
14877.7  ,     285
14902.1  ,     270
14926.5  ,     299
14951.0  ,     300
14975.4  ,     303
14999.9  ,     291
15024.3  ,     288
15048.7  ,     300
15073.2  ,     264
15097.6  ,     273
15122.1  ,     261
15146.5  ,     272
15170.9  ,     278
15195.4  ,     316
15219.8  ,     302
15244.3  ,     352
15268.7  ,     359
15293.1  ,     379
15317.6  ,     394
15342.0  ,     368
15366.5  ,     348
15390.9  ,     422
15415.3  ,     460
15439.8  ,     514
15464.2  ,     533
15488.6  ,     626
15513.1  ,     710
15537.5  ,     941
15562.0  ,    1170
15586.4  ,    1517
15610.8  ,    1869
15635.3  ,    2433
15659.7  ,    2745
15684.2  ,    3285
15708.6  ,    3631
15733.0  ,    3817
15757.5  ,    3877
15781.9  ,    3779
15806.4  ,    3379
15830.8  ,    2965
15855.2  ,    2399
15879.7  ,    1996
15904.1  ,    1619
15928.6  ,    1347
15953.0  ,    1103
15977.4  ,     953
16001.9  ,     879
16026.3  ,     891
16050.8  ,     939
16075.2  ,     921
16099.6  ,     978
16124.1  ,     937
16148.5  ,    1025
16173.0  ,     964
16197.4  ,    1063
16221.8  ,    1106
16246.3  ,    1146
16270.7  ,    1103
16295.2  ,    1087
16319.6  ,    1129
16344.0  ,    1124
16368.5  ,    1121
16392.9  ,    1148
16417.3  ,    1042
16441.8  ,    1085
16466.2  ,    1061
16490.7  ,    1138
16515.1  ,    1038
16539.5  ,    1102
16564.0  ,    1071
16588.4  ,    1130
16612.9  ,    1155
16637.3  ,    1210
16661.7  ,    1325
16686.2  ,    1301
16710.6  ,    1294
16735.1  ,    1538
16759.5  ,    1541
16783.9  ,    1606
16808.4  ,    1702
16832.8  ,    1843
16857.3  ,    2057
16881.7  ,    2071
16906.1  ,    2223
16930.6  ,    2373
16955.0  ,    2508
16979.5  ,    2584
17003.9  ,    2684
17028.3  ,    2756
17052.8  ,    2861
17077.2  ,    2924
17101.7  ,    2994
17126.1  ,    2998
17150.5  ,    3037
17175.0  ,    3176
17199.4  ,    2998
17223.9  ,    3049
17248.3  ,    2925
17272.7  ,    2904
17297.2  ,    2646
17321.6  ,    2621
17346.0  ,    2315
17370.5  ,    2044
17394.9  ,    1929
17419.4  ,    1655
17443.8  ,    1530
17468.2  ,    1474
17492.7  ,    1295
17517.1  ,    1299
17541.6  ,    1247
17566.0  ,    1265
17590.4  ,    1257
17614.9  ,    1321
17639.3  ,    1315
17663.8  ,    1253
17688.2  ,    1228
17712.6  ,    1132
17737.1  ,    1017
17761.5  ,     879
17786.0  ,     771
17810.4  ,     712
17834.8  ,     626
17859.3  ,     601
17883.7  ,     584
17908.2  ,     573
17932.6  ,     555
17957.0  ,     541
17981.5  ,     573
18005.9  ,     585
18030.4  ,     612
18054.8  ,     640
18079.2  ,     613
18103.7  ,     786
18128.1  ,     884
18152.6  ,    1189
18177.0  ,    1419
18201.4  ,    1717
18225.9  ,    2088
18250.3  ,    2393
18274.7  ,    2558
18299.2  ,    2613
18323.6  ,    2481
18348.1  ,    2356
18372.5  ,    2032
18396.9  ,    1659
18421.4  ,    1216
18445.8  ,     969
18470.3  ,     704
18494.7  ,     501
18519.1  ,     376
18543.6  ,     292
18568.0  ,     216
18592.5  ,     199
18616.9  ,     181
18641.3  ,     178
18665.8  ,     157
18690.2  ,     153
18714.7  ,     133
18739.1  ,     153
18763.5  ,     150
18788.0  ,     169
18812.4  ,     165
18836.9  ,     154
18861.3  ,     164
18885.7  ,     181
18910.2  ,     192
18934.6  ,     201
18959.1  ,     179
18983.5  ,     175
19007.9  ,     204
19032.4  ,     195
19056.8  ,     202
19081.3  ,     246
19105.7  ,     252
19130.1  ,     218
19154.6  ,     237
19179.0  ,     238
19203.5  ,     245
19227.9  ,     263
19252.3  ,     282
19276.8  ,     291
19301.2  ,     290
19325.6  ,     393
19350.1  ,     345
19374.5  ,     341
19399.0  ,     372
19423.4  ,     405
19447.8  ,     366
19472.3  ,     458
19496.7  ,     439
19521.2  ,     457
19545.6  ,     511
19570.0  ,     575
19594.5  ,     573
19618.9  ,     623
19643.4  ,     665
19667.8  ,     641
19692.2  ,     709
19716.7  ,     687
19741.1  ,     625
19765.6  ,     706
19790.0  ,     785
19814.4  ,     695
19838.9  ,     767
19863.3  ,     717
19887.8  ,     731
19912.2  ,     669
19936.6  ,     658
19961.1  ,     676
19985.5  ,     645
20010.0  ,     619
20034.4  ,     631
20058.8  ,     537
20083.3  ,     516
