"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.42    ,  0.14  
MgO     ,  5.87    ,  0.17  
Al2O3   , 10.65    ,  0.29  
SiO2    , 48.29    ,  0.54  
P2O5    ,  1.37    ,  0.07  
SO3     ,  7.53    ,  0.17  
Cl      ,  1.07    ,  0.05  
K2O     ,  0.65    ,  0.02  
CaO     ,  4.98    ,  0.08  
TiO2    ,  1.02    ,  0.05  
Cr2O3   ,  0.38    ,  0.03  
MnO     ,  0.31    ,  0.03  
FeO     , 15.05    ,  0.20  
Ni      ,  0.0619  ,  0.0045
Zn      ,  0.2161  ,  0.0065
Br      ,  0.0141  ,  0.0010
