"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.42    ,  0.14  
MgO     ,  6.06    ,  0.17  
Al2O3   ,  8.99    ,  0.19  
SiO2    , 40.78    ,  0.43  
P2O5    ,  1.21    ,  0.07  
SO3     , 15.78    ,  0.17  
Cl      ,  0.93    ,  0.02  
K2O     ,  0.47    ,  0.02  
CaO     ,  9.20    ,  0.10  
TiO2    ,  0.95    ,  0.03  
Cr2O3   ,  0.37    ,  0.01  
MnO     ,  0.27    ,  0.01  
FeO     , 12.24    ,  0.13  
Ni      ,  0.0778  ,  0.0040
Zn      ,  0.1544  ,  0.0050
Br      ,  0.0094  ,  0.0005
