"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.00    ,  0.14  
MgO     ,  4.69    ,  0.17  
Al2O3   , 11.49    ,  0.29  
SiO2    , 49.92    ,  0.54  
P2O5    ,  1.28    ,  0.07  
SO3     ,  6.19    ,  0.08  
Cl      ,  0.46    ,  0.02  
K2O     ,  0.73    ,  0.02  
CaO     ,  4.45    ,  0.06  
TiO2    ,  1.10    ,  0.03  
Cr2O3   ,  0.36    ,  0.01  
MnO     ,  0.36    ,  0.01  
FeO     , 15.48    ,  0.20  
Ni      ,  0.0898  ,  0.0045
Zn      ,  0.1972  ,  0.0060
Br      ,  0.0057  ,  0.0005
