"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.56    ,  0.20  
MgO     ,  3.64    ,  0.17  
Al2O3   ,  8.39    ,  0.19  
SiO2    , 45.63    ,  0.54  
P2O5    ,  1.13    ,  0.07  
SO3     ,  7.69    ,  0.20  
Cl      ,  0.60    ,  0.04  
K2O     ,  0.86    ,  0.04  
CaO     ,  6.44    ,  0.11  
TiO2    ,  1.13    ,  0.05  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.26    ,  0.03  
FeO     , 21.09    ,  0.26  
Ni      ,  0.0932  ,  0.0065
Zn      ,  0.0747  ,  0.0040
Br      ,  0.0192  ,  0.0015
