"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.47    ,  0.20  
MgO     ,  8.32    ,  0.25  
Al2O3   ,  8.11    ,  0.29  
SiO2    , 40.65    ,  0.64  
P2O5    ,  1.00    ,  0.07  
SO3     ,  9.62    ,  0.25  
Cl      ,  1.00    ,  0.05  
K2O     ,  0.56    ,  0.04  
CaO     ,  5.98    ,  0.11  
TiO2    ,  0.91    ,  0.07  
Cr2O3   ,  0.35    ,  0.05  
MnO     ,  0.37    ,  0.03  
FeO     , 20.15    ,  0.26  
Ni      ,  0.0880  ,  0.0065
Zn      ,  0.0763  ,  0.0045
Br      ,  0.0448  ,  0.0025
