"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.85    ,  0.14  
MgO     ,  7.55    ,  0.17  
Al2O3   , 10.44    ,  0.29  
SiO2    , 47.47    ,  0.54  
P2O5    ,  0.76    ,  0.05  
SO3     ,  3.40    ,  0.05  
Cl      ,  0.57    ,  0.02  
K2O     ,  0.59    ,  0.02  
CaO     ,  7.14    ,  0.08  
TiO2    ,  0.93    ,  0.03  
Cr2O3   ,  0.46    ,  0.01  
MnO     ,  0.36    ,  0.01  
FeO     , 17.37    ,  0.20  
Ni      ,  0.0443  ,  0.0025
Zn      ,  0.0250  ,  0.0010
Br      ,  0.0023  ,  0.0005
