"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.37    ,  0.14  
MgO     ,  7.31    ,  0.17  
Al2O3   ,  8.72    ,  0.19  
SiO2    , 46.05    ,  0.54  
P2O5    ,  0.92    ,  0.07  
SO3     ,  5.40    ,  0.08  
Cl      ,  1.35    ,  0.02  
K2O     ,  0.71    ,  0.02  
CaO     ,  4.43    ,  0.06  
TiO2    ,  1.17    ,  0.05  
Cr2O3   ,  0.36    ,  0.01  
MnO     ,  0.47    ,  0.01  
FeO     , 20.29    ,  0.26  
Ni      ,  0.0785  ,  0.0040
Zn      ,  0.2464  ,  0.0075
Br      ,  0.0541  ,  0.0020
