"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.05    ,  0.14  
MgO     ,  8.44    ,  0.25  
Al2O3   ,  9.22    ,  0.19  
SiO2    , 41.70    ,  0.54  
P2O5    ,  0.84    ,  0.05  
SO3     ,  6.37    ,  0.12  
Cl      ,  1.17    ,  0.04  
K2O     ,  0.81    ,  0.04  
CaO     ,  6.25    ,  0.07  
TiO2    ,  0.83    ,  0.05  
Cr2O3   ,  0.45    ,  0.03  
MnO     ,  0.52    ,  0.03  
FeO     , 20.10    ,  0.26  
Ni      ,  0.0390  ,  0.0030
Zn      ,  0.0375  ,  0.0020
Br      ,  0.0050  ,  0.0010
