"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.89    ,  0.14  
MgO     ,  8.13    ,  0.17  
Al2O3   , 10.32    ,  0.29  
SiO2    , 44.07    ,  0.54  
P2O5    ,  0.98    ,  0.07  
SO3     ,  4.87    ,  0.08  
Cl      ,  1.20    ,  0.02  
K2O     ,  0.60    ,  0.02  
CaO     ,  6.08    ,  0.07  
TiO2    ,  0.95    ,  0.03  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.47    ,  0.01  
FeO     , 18.95    ,  0.20  
Ni      ,  0.0404  ,  0.0025
Zn      ,  0.0640  ,  0.0020
Br      ,  0.0157  ,  0.0005
