"Target: Cumberland_A_adjusted_Target2, Contains DAT files: APB_422636994ESC02830060082_______M2.DAT"
  484.2  ,    1200
  508.6  ,       0
  533.0  ,       0
  557.5  ,       0
  581.9  ,       0
  606.3  ,     116
  630.7  ,       0
  655.2  ,       0
  679.6  ,       0
  704.0  ,       9
  728.4  ,     128
  752.8  ,     116
  777.3  ,      98
  801.7  ,     123
  826.1  ,     135
  850.5  ,     123
  874.9  ,     153
  899.4  ,     156
  923.8  ,     193
  948.2  ,     236
  972.6  ,     296
  997.1  ,     337
 1021.5  ,     329
 1045.9  ,     355
 1070.3  ,     360
 1094.7  ,     326
 1119.2  ,     436
 1143.6  ,     506
 1168.0  ,     638
 1192.4  ,     754
 1216.8  ,     955
 1241.3  ,    1019
 1265.7  ,     992
 1290.1  ,     931
 1314.5  ,     762
 1339.0  ,     651
 1363.4  ,     715
 1387.8  ,     792
 1412.2  ,     966
 1436.6  ,    1245
 1461.1  ,    1346
 1485.5  ,    1410
 1509.9  ,    1406
 1534.3  ,    1218
 1558.7  ,    1132
 1583.2  ,    1202
 1607.6  ,    1546
 1632.0  ,    2414
 1656.4  ,    3188
 1680.9  ,    4213
 1705.3  ,    4873
 1729.7  ,    5121
 1754.1  ,    4994
 1778.5  ,    4118
 1803.0  ,    3127
 1827.4  ,    2203
 1851.8  ,    1367
 1876.2  ,     824
 1900.6  ,     510
 1925.1  ,     322
 1949.5  ,     208
 1973.9  ,     177
 1998.3  ,     132
 2022.8  ,     134
 2047.2  ,     109
 2071.6  ,      86
 2096.0  ,      78
 2120.4  ,      73
 2144.9  ,      71
 2169.3  ,      67
 2193.7  ,      71
 2218.1  ,      90
 2242.5  ,     110
 2267.0  ,     136
 2291.4  ,     141
 2315.8  ,     133
 2340.2  ,     123
 2364.7  ,     111
 2389.1  ,      90
 2413.5  ,      61
 2437.9  ,      69
 2462.3  ,      59
 2486.8  ,      81
 2511.2  ,      82
 2535.6  ,     113
 2560.0  ,     133
 2584.4  ,     149
 2608.9  ,     152
 2633.3  ,     153
 2657.7  ,     151
 2682.1  ,     129
 2706.6  ,      80
 2731.0  ,      68
 2755.4  ,      49
 2779.8  ,      44
 2804.2  ,      44
 2828.7  ,      47
 2853.1  ,      42
 2877.5  ,      46
 2901.9  ,      51
 2926.4  ,      58
 2950.8  ,      51
 2975.2  ,      41
 2999.6  ,      38
 3024.0  ,      39
 3048.5  ,      36
 3072.9  ,      33
 3097.3  ,      16
 3121.7  ,      24
 3146.1  ,      26
 3170.6  ,      29
 3195.0  ,      45
 3219.4  ,      47
 3243.8  ,      67
 3268.3  ,      76
 3292.7  ,      66
 3317.1  ,      58
 3341.5  ,      59
 3365.9  ,      70
 3390.4  ,      60
 3414.8  ,      59
 3439.2  ,      58
 3463.6  ,      35
 3488.0  ,      47
 3512.5  ,      67
 3536.9  ,      98
 3561.3  ,     137
 3585.7  ,     198
 3610.2  ,     256
 3634.6  ,     341
 3659.0  ,     374
 3683.4  ,     412
 3707.8  ,     379
 3732.3  ,     334
 3756.7  ,     270
 3781.1  ,     166
 3805.5  ,     122
